,Pos,Race No,Name,Net Time,Category,Cat Pos,Gender,Wave,Start,Run,Bike,Sandbag Gauntlet,Battle Rope Pull,Farmer's Carry,Row,Deadball Burpee,Sled Push,Pendulum Shots,Agility Climber,Ski,The Mule,Calc Time,Time Adj,Run Rank,Bike Rank,Sandbag Gauntlet Rank,Battle Rope Pull Rank,Farmer's Carry Rank,Row Rank,Deadball Burpee Rank,Sled Push Rank,Pendulum Shots Rank,Agility Climber Rank,Ski Rank,The Mule Rank,Average Rank
0,1.0,34,TANYA TOLMAN,1566.0,All Ages,1.0,Female,Heat3 8:30:00 AM,1.0,125.0,80.0,100.0,266.0,89.0,144.0,123.0,133.0,185.0,126.0,136.0,58.0,1566.0,0.0,3.0,1.0,1.0,10.0,2.0,2.0,3.0,15.0,12.0,6.5,6.0,18.5,6.666666666666667
1,2.0,2,STEPHANIE CHUA,1597.0,All Ages,2.0,Female,Heat1 8:00:00 AM,0.0,123.0,104.0,108.0,275.0,124.0,154.7769004212769,170.22309957872307,122.0,126.0,126.0,135.0,59.0,1627.0,0.0,1.0,17.0,3.0,13.0,13.5,8.0,23.0,9.0,2.0,6.5,4.5,21.5,10.166666666666666
2,3.0,69,HUI YUEN VIVIEN CHENG,1619.0,All Ages,3.0,Female,Heat6 9:15:00 AM,1.0,129.0,91.0,137.0,228.0,84.0,156.0,69.0,243.0,175.0,121.0,132.0,53.0,1619.0,0.0,7.0,5.0,11.5,6.0,1.0,9.5,1.0,51.0,9.5,3.0,3.0,11.0,9.875
3,4.0,60,ZOEY WONG,1640.0,All Ages,4.0,Female,Heat5 9:00:00 AM,2.0,178.0,98.0,154.0,227.0,96.0,145.0,136.0,125.0,161.0,139.0,125.0,54.0,1640.0,0.0,59.5,8.0,29.0,5.0,4.0,3.5,8.0,10.0,7.0,19.5,2.0,13.5,14.083333333333334
4,5.0,36,KATE SARGINSON,1674.0,All Ages,5.0,Female,Heat3 8:30:00 AM,2.0,132.0,87.0,154.0,223.0,120.1969832702624,132.80301672973764,193.0,130.0,183.0,112.0,143.0,62.0,1674.0,0.0,9.0,2.5,29.0,4.0,8.0,1.0,30.5,13.0,11.0,2.0,9.5,26.0,12.125
5,6.0,47,MELISSA TEOH,1715.0,All Ages,6.0,Female,Heat4 8:45:00 AM,2.0,138.0,110.0,109.0,294.0,102.0,168.0,163.0,137.0,145.0,135.0,161.0,51.0,1715.0,0.0,12.5,25.0,4.0,20.5,5.0,16.0,17.0,17.0,4.0,13.5,23.5,7.0,13.75
6,7.0,25,VERN RU KHU,1742.0,All Ages,7.0,Female,Heat3 8:30:00 AM,1.0,138.0,108.0,156.0,243.0,95.0,156.0,186.0,99.0,202.0,154.0,154.0,50.0,1742.0,0.0,12.5,21.5,32.5,7.0,3.0,9.5,26.5,5.0,16.0,43.0,17.0,5.0,16.541666666666668
7,8.0,51,AV SHARASWATHY SARAH ANG,1799.0,All Ages,8.0,Female,Heat5 9:00:00 AM,2.0,167.0,121.0,169.0,325.0,131.0,201.0,169.0,,,,,239.0,,0.0,43.0,46.0,36.5,34.0,23.0,49.0,21.0,,,,,72.0,
8,9.0,41,BRENDA UNDAN,1841.0,All Ages,9.0,Female,Heat4 8:45:00 AM,1.0,140.0,97.0,145.0,284.0,123.0,145.0,257.0,136.0,164.0,135.0,135.0,79.0,1841.0,0.0,15.0,7.0,21.0,15.0,11.0,3.5,54.0,16.0,8.0,13.5,4.5,53.0,18.458333333333332
9,10.0,24,NADIA ZAINAL ABIDIN,1854.0,All Ages,10.0,Female,Heat2 8:15:00 AM,2.0,153.0,102.0,138.0,372.0,126.0,185.0,129.0,153.0,134.0,140.0,167.0,53.0,1854.0,0.0,25.0,15.5,13.5,52.5,16.5,26.0,5.0,24.0,3.0,22.0,29.5,11.0,20.291666666666668
10,11.0,71,AMBER ONG,1860.0,All Ages,11.0,Female,Heat6 9:15:00 AM,2.0,152.0,87.0,133.0,216.0,126.0,149.0,132.0,187.0,308.0,140.0,158.0,70.0,1860.0,0.0,23.5,2.5,8.5,2.0,16.5,5.0,6.0,40.0,38.0,22.0,21.0,40.5,18.791666666666668
