Name,Race No,Overall Pos,Cat Pos,Net Time,Gender,Category,Status,Wave,Team,Erg Bike,Row Erg,Burden Run,Deadball Power Trip,Sandbag Hoist,Sled Push & Pull,Burpee to Plate,Cruciball Chamber,Run,Ski Erg,Lactic Legs,Cruci-Haul
JAMES HOGG,443,1,1,00:24:03,Male,30-44,Finished,Heat1 13:40,Semi-Hybrid,00:01:54,,00:05:53,00:03:04,00:01:10,00:01:46,00:03:21,00:01:12,00:04:14,00:03:00,00:02:33,00:01:04
LUKE HASTINGS,444,2,2,00:24:03,Male,30-44,Finished,Heat1 13:40,Semi-Hybrid,00:01:15,00:02:44,00:01:53,00:03:05,00:01:09,00:01:44,00:03:22,00:01:12,00:04:17,00:02:59,00:02:34,00:01:01
JULIEN PRIEUR,417,3,3,00:25:10,Male,30-44,Finished,Heat1 13:40,Croissants,00:02:12,00:02:05,00:01:48,00:03:07,00:00:56,00:01:44,00:03:28,00:01:39,00:04:31,00:03:27,00:02:24,00:01:10
PIERRE ALGRET,418,4,4,00:25:16,Male,30-44,Finished,Heat1 13:40,Croissants,00:02:12,00:02:05,00:01:46,00:03:05,00:01:00,00:01:46,00:03:29,00:01:39,00:04:33,00:03:24,00:02:24,00:01:09
MICHAEL MELLY,473,5,5,00:27:19,Male,30-44,Finished,Heat2 13:50,No Sleep Club,00:01:57,00:02:17,00:01:41,00:03:37,00:01:28,00:01:57,00:03:40,00:01:42,00:04:44,00:03:32,00:02:44,00:01:13
CLEMENT ZHAO,474,6,6,00:27:20,Male,30-44,Finished,Heat2 13:50,No Sleep Club,00:01:55,00:01:20,00:02:40,00:03:38,00:01:26,00:01:57,00:03:43,00:01:39,00:04:48,00:03:31,00:02:46,00:01:10
NOPPONG CHAIPUKDEE,442,7,7,00:27:34,Male,30-44,Finished,Heat1 13:40,Brew Training Club,00:02:36,00:02:05,00:01:50,00:03:45,00:01:08,00:01:53,00:03:42,00:01:49,00:03:13,00:03:31,00:02:41,00:01:16
SINTHU KOSASIH,441,8,8,00:27:35,Male,30-44,Finished,Heat1 13:40,Brew Training Club,00:02:38,00:02:08,00:01:43,00:03:44,00:01:11,00:01:55,00:03:41,00:01:47,00:03:15,00:03:30,00:02:41,00:01:15
FX CHERAITIA,431,9,9,00:29:31,Male,30-44,Finished,Heat1 13:40,Team NAGA,00:02:03,00:02:06,00:02:14,00:03:30,00:01:35,00:01:48,00:04:10,00:01:44,00:05:39,00:03:29,00:03:13,00:01:13
VASUPOL LEERUNGRUANG,424,10,10,00:29:34,Male,30-44,Finished,Heat1 13:40,Tuktuk Tankers,00:01:53,00:02:21,00:01:57,00:03:17,00:01:10,00:02:06,00:04:49,00:01:49,00:05:24,00:04:01,00:03:08,00:01:00
SITTHICHAI KAEWSERM,425,11,11,00:29:36,Male,30-44,Finished,Heat1 13:40,TOP TO TOE,00:02:04,00:02:30,00:01:59,00:03:42,00:01:09,00:02:04,00:04:13,00:01:55,00:05:09,00:03:59,00:03:03,00:01:10
CHRIS BODE,423,12,12,00:29:36,Male,30-44,Finished,Heat1 13:40,Tuktuk Tankers,00:01:53,00:02:23,00:01:55,00:03:18,00:01:11,00:02:03,00:04:48,00:01:53,00:05:25,00:03:58,00:03:10,00:01:00
THOSAPOL JAROENJIT,426,13,13,00:29:37,Male,30-44,Finished,Heat1 13:40,TOP TO TOE,00:02:05,00:02:31,00:01:58,00:03:41,00:01:11,00:02:04,00:04:13,00:01:55,00:05:10,00:03:57,00:03:05,00:01:07
KORAVIT THONGYAM,432,14,14,00:29:40,Male,30-44,Finished,Heat1 13:40,Team NAGA,00:02:05,00:02:07,00:02:11,00:03:30,00:01:19,00:02:06,00:04:10,00:01:41,00:05:44,00:03:23,00:03:11,00:01:16
STEVEN BUCHET,461,15,15,00:30:10,Male,30-44,Finished,Heat2 13:50,Still Single,00:02:51,00:02:13,00:02:06,00:03:14,00:01:21,00:01:52,00:04:46,00:01:40,00:05:39,00:03:31,00:02:54,00:01:22
ANTOINE HEREN,462,16,16,00:30:12,Male,30-44,Finished,Heat2 13:50,Still Single,00:02:52,00:02:13,00:02:05,00:03:16,00:01:20,00:01:55,00:04:43,00:01:40,00:05:39,00:03:32,00:02:55,00:01:18
