Name,Race No,Overall Pos,Cat Pos,Net Time,Gender,Category,Status,Wave,Team,Erg Bike,Row Erg,Burden Run,Deadball Power Trip,Sandbag Hoist,Sled Push & Pull,Burpee to Plate,Cruciball Chamber,Run,Ski Erg,Lactic Legs,Cruci-Haul
GABE HECK,141,1,1,00:28:42,Male,30-34,Finished,Heat1 10:10,N/A,00:02:09,00:02:16,00:01:54,00:03:30,00:01:18,00:02:30,00:04:15,00:01:42,00:04:12,00:03:33,00:03:09,00:01:30
PIERRE ALGRET,134,2,1,00:29:15,Male,25-29,Finished,Heat1 10:10,N/A,00:02:12,00:02:24,00:02:04,00:03:17,00:01:26,00:02:48,00:04:31,00:01:26,00:04:23,00:03:45,00:02:55,00:01:21
NICK TISINGER,143,3,2,00:30:40,Male,30-34,Finished,Heat1 10:10,N/A,00:02:22,00:02:23,00:02:02,00:03:16,00:01:29,00:02:59,00:04:28,00:01:27,00:04:48,00:03:54,00:03:07,00:01:44
DAN LARMOUR,129,4,3,00:31:16,Male,30-34,Finished,Heat1 10:10,N/A,00:02:36,00:02:15,00:02:01,00:03:35,00:01:18,00:02:57,00:04:32,00:02:05,00:04:58,00:03:39,00:02:55,00:01:45
LUKE HASTINGS,135,5,4,00:32:58,Male,30-34,Finished,Heat1 10:10,N/A,00:00:05,00:04:46,00:02:23,00:03:36,00:01:40,00:03:55,00:05:17,00:02:08,00:03:11,00:03:54,00:03:30,00:01:53
LUCA MASELLI,140,6,1,00:33:36,Male,40-44,Finished,Heat1 10:10,N/A,00:03:13,00:02:25,00:02:19,00:03:42,00:01:37,00:03:10,00:04:53,00:02:09,00:04:51,00:03:37,00:03:33,00:01:28
JAMES HOGG,132,7,1,00:37:26,Male,35-39,Finished,Heat1 10:10,N/A,00:02:29,00:02:43,00:02:25,00:04:22,00:02:38,00:03:53,00:05:37,00:01:32,00:04:32,00:04:05,00:04:49,00:01:41
TOMMY SAGGUS,130,8,2,00:37:28,Male,40-44,Finished,Heat1 10:10,N/A,00:03:28,00:02:46,00:02:19,00:03:49,00:01:35,00:04:00,00:05:48,00:01:50,00:05:11,00:04:05,00:04:18,00:01:43
EVGENIY GLUSHKOV,133,9,2,00:37:58,Male,25-29,Finished,Heat1 10:10,N/A,00:02:54,00:02:26,00:02:28,00:03:56,00:02:03,00:04:37,00:05:07,00:02:01,00:05:09,00:04:28,00:04:27,00:01:45
LUDOVIC GUYONVARCH,131,10,3,00:38:42,Male,40-44,Finished,Heat1 10:10,N/A,00:03:21,00:02:52,00:02:20,00:03:51,00:01:49,00:04:08,00:05:48,00:01:52,00:04:51,00:04:31,00:05:11,00:01:34
