Name,Race No,Overall Pos,Cat Pos,Net Time,Gender,Category,Status,Wave,Team,Erg Bike,Row Erg,Burden Run,Deadball Power Trip,Sandbag Hoist,Sled Push & Pull,Burpee to Plate,Cruciball Chamber,Run,Ski Erg,Lactic Legs,Cruci-Haul
GRACE VERTIGANS,81,1,1,00:32:18,Female,25-29,Finished,Heat1 9:10,N/A,00:02:12,00:02:34,00:02:12,00:04:04,00:01:32,00:02:44,00:04:50,00:01:31,00:05:49,00:03:54,00:03:18,00:01:31
ZHU FANG,88,2,1,00:34:51,Female,30-34,Finished,Heat1 9:10,N/A,00:02:16,00:02:47,00:02:31,00:05:27,00:02:38,00:02:50,00:03:29,00:01:40,00:05:20,00:03:41,00:03:53,00:01:42
MICHIKO SATO,85,3,1,00:38:39,Female,45-49,Finished,Heat1 9:10,N/A,00:02:31,00:03:07,00:02:42,00:04:54,00:02:53,00:03:35,00:03:56,00:02:34,00:05:23,00:04:11,00:04:03,00:02:10
TATCHA KAWASHIMA,97,4,2,00:40:42,Female,30-34,Finished,Heat2 9:20,N/A,00:02:54,00:03:06,00:02:55,00:05:10,,00:20:48,00:04:08,00:01:54,00:06:31,00:04:09,00:03:50,00:02:17
SARAH TAN,91,5,1,00:41:14,Female,35-39,Finished,Heat1 9:10,N/A,00:02:32,00:03:16,00:02:50,00:05:10,00:03:03,00:03:33,00:06:32,00:02:30,00:05:36,00:04:53,00:03:45,00:02:17
TEERADA TEERAPRASART,95,6,2,00:41:16,Female,35-39,Finished,Heat1 9:10,N/A,00:02:47,00:03:02,00:02:37,00:05:26,00:02:15,00:04:00,00:04:49,00:02:15,00:06:01,00:04:31,00:04:22,00:02:27
ANNABELLE LUMBIS,83,7,1,00:42:05,Female,40-44,Finished,Heat1 9:10,N/A,00:03:25,00:03:16,00:02:58,00:04:55,00:03:13,00:04:10,00:04:28,00:02:04,00:06:15,00:04:38,00:03:37,00:02:24
JULIA AARNIO,87,8,3,00:42:07,Female,30-34,Finished,Heat1 9:10,N/A,00:02:33,00:02:54,00:02:47,00:04:57,,00:20:54,00:04:45,00:02:04,00:06:38,00:04:39,00:04:24,00:02:01
JENNIFER HOEJGAARD,93,9,3,00:42:34,Female,35-39,Finished,Heat1 9:10,N/A,00:03:30,00:03:30,00:02:55,00:05:06,,00:21:11,00:04:53,00:01:41,00:06:05,00:04:39,00:05:12,00:02:19
INTAN KURNIA,90,10,2,00:43:03,Female,40-44,Finished,Heat1 9:10,N/A,00:02:46,00:04:09,00:02:59,00:05:06,00:01:07,00:05:23,00:04:32,00:02:17,00:05:51,00:05:14,00:04:29,00:02:38
