Name,Race No,Overall Pos,Cat Pos,Net Time,Gender,Category,Status,Wave,Team,Erg Bike,Row Erg,Burden Run,Deadball Power Trip,Sandbag Hoist,Sled Push & Pull,Burpee to Plate,Cruciball Chamber,Run,Ski Erg,Lactic Legs,Cruci-Haul
CLAIRE BERTIN,234,1,1,00:29:39,Female,30-34,Finished,Heat1 11:30,N/A,00:02:44,00:02:33,00:02:12,00:04:40,00:01:37,00:02:52,00:03:34,00:01:44,00:03:16,00:03:42,00:04:01,00:01:35
AROCHA KANGKRICH,225,2,1,00:31:03,Female,25-29,Finished,Heat1 11:30,N/A,00:02:28,00:02:09,00:02:22,00:03:55,00:01:48,00:04:07,00:04:07,00:01:45,00:03:57,00:03:25,00:02:26,00:01:51
NUR ILI ATHIRAH AHMAD KAMAL,233,3,2,00:31:25,Female,30-34,Finished,Heat1 11:30,N/A,00:01:48,00:02:17,00:03:12,00:03:35,00:01:52,00:03:28,00:04:00,00:01:31,00:05:05,00:03:26,00:02:47,00:01:46
JEN JEN,239,4,1,00:32:02,Female,45-49,Finished,Heat1 11:30,N/A,00:02:37,00:02:49,00:02:27,00:04:12,00:02:01,00:03:38,00:03:31,00:02:04,00:03:57,00:04:14,00:01:58,00:01:58
VAREE TUNGTAWEEROONGROJ,229,5,3,00:32:20,Female,30-34,Finished,Heat1 11:30,N/A,00:02:57,00:02:17,00:02:36,00:04:03,00:02:03,00:03:26,00:04:06,00:01:47,00:03:58,00:04:08,00:02:26,00:01:51
SACHIKO TAKASHI,227,6,1,00:34:12,Female,50+,Finished,Heat1 11:30,N/A,00:02:03,00:03:01,00:02:52,00:04:35,00:02:51,00:02:31,00:04:02,00:01:58,00:03:58,00:04:36,00:02:34,00:02:44
SOPHIE TYSON,269,7,4,00:34:15,Female,30-34,Finished,Heat3 11:50,N/A,00:03:00,00:02:33,00:03:28,00:04:37,00:01:54,00:03:40,00:04:06,00:01:30,00:04:15,00:04:10,00:02:46,00:01:37
WENDY MING-HUEY,226,8,1,00:34:21,Female,40-44,Finished,Heat1 11:30,N/A,00:02:09,00:02:34,00:03:20,00:05:05,00:02:16,00:02:19,00:05:07,00:02:06,00:04:29,00:04:21,00:02:45,00:02:01
SAWANYA WITTHAYAWARAKUL,266,9,1,00:34:41,Female,35-39,Finished,Heat3 11:50,N/A,00:02:45,00:02:40,00:03:05,00:04:25,00:02:02,00:04:11,00:03:50,00:01:35,00:04:17,00:04:00,00:02:34,00:02:04
KANLAYA SRINANTAWONG,288,10,2,00:34:59,Female,35-39,Finished,Heat4 12:00,N/A,00:02:03,00:02:23,00:02:59,00:04:59,00:01:49,00:03:25,00:04:30,00:01:50,00:05:38,00:04:06,00:02:46,00:01:58
YING CHUN CHEN,261,11,5,00:35:08,Female,30-34,Finished,Heat3 11:50,N/A,00:01:49,00:02:57,00:03:03,00:04:34,00:02:14,00:03:35,00:04:26,00:01:58,00:04:45,00:03:47,00:03:03,00:02:13
LINDA KEENAN,285,12,2,00:35:29,Female,45-49,Finished,Heat4 12:00,N/A,00:02:29,00:02:39,00:03:00,00:05:20,00:02:21,00:03:40,00:04:16,00:01:58,00:04:09,00:04:45,00:02:24,00:01:50
SALINTHIP APHICHARTPHANKAWEE,262,13,3,00:35:47,Female,35-39,Finished,Heat3 11:50,N/A,00:02:46,00:02:39,00:03:13,00:05:40,00:02:52,00:04:24,00:03:47,00:02:21,00:02:27,00:04:32,00:03:13,00:01:53
THAWULRUT SIRIWONGKUL,253,14,2,00:36:02,Female,40-44,Finished,Heat2 11:40,N/A,00:01:59,00:03:13,00:03:08,00:04:39,00:02:36,00:05:17,00:03:46,00:01:57,00:03:04,00:04:45,00:02:34,00:02:27
LYNDSEY PREG,237,15,6,00:36:22,Female,30-34,Finished,Heat1 11:30,N/A,00:03:21,00:03:18,00:02:49,00:04:54,00:02:11,00:03:29,00:03:37,00:01:32,00:04:08,00:04:00,00:04:26,00:02:01
WANNAKORN MATCHIMWONG,259,16,7,00:36:37,Female,30-34,Finished,Heat3 11:50,N/A,00:02:23,00:02:49,00:03:51,00:05:34,00:02:36,00:03:42,00:04:47,00:01:46,00:04:48,00:03:49,00:02:16,00:02:22
ELLIZA LIM,241,17,8,00:36:52,Female,30-34,Finished,Heat2 11:40,N/A,00:03:04,00:02:50,00:03:33,00:05:13,00:01:51,00:03:58,00:04:15,00:02:04,00:02:46,00:04:33,00:03:06,00:03:16
THANATCHANOK ARUNSAWANG,231,18,2,00:37:35,Female,50+,Finished,Heat1 11:30,N/A,00:02:08,00:02:27,00:03:25,00:05:36,00:02:43,00:04:05,00:04:08,00:01:59,00:04:59,00:04:05,00:02:53,00:02:36
NEE BACI,280,19,3,00:38:25,Female,40-44,Finished,Heat4 12:00,N/A,00:02:57,00:03:07,00:03:04,00:04:50,00:02:30,00:04:01,00:05:25,00:02:15,00:04:38,00:04:43,00:02:48,00:02:08
NATKANYA BOONSONG,235,20,4,00:38:54,Female,40-44,Finished,Heat1 11:30,N/A,00:02:17,00:03:01,00:03:08,00:05:20,00:02:55,00:04:05,00:04:32,00:02:07,00:05:03,00:04:21,00:03:02,00:02:34
DUANGKAMON YAIKWAWONG,282,21,4,00:38:57,Female,35-39,Finished,Heat4 12:00,N/A,00:02:22,00:02:45,00:03:10,00:05:25,00:03:12,00:03:56,00:04:22,00:01:54,00:05:24,00:04:34,00:03:13,00:02:19
NATERUTAI SRIPHAN,275,22,5,00:39:01,Female,40-44,Finished,Heat4 12:00,N/A,00:02:27,00:02:42,00:03:30,00:04:44,00:02:20,00:04:21,00:04:45,00:01:58,00:04:58,00:04:20,00:03:49,00:02:41
SHRMILA KAUR,260,23,6,00:39:05,Female,40-44,Finished,Heat3 11:50,N/A,00:02:22,00:02:53,00:03:21,00:05:05,00:02:02,00:04:56,00:05:15,00:02:10,00:04:42,00:04:28,00:03:08,00:02:21
PHLOILOMPHET LAKCHAI,273,24,5,00:39:10,Female,35-39,Finished,Heat4 12:00,N/A,00:02:36,00:02:55,00:04:14,00:04:28,00:02:33,00:04:23,00:04:23,00:02:36,00:04:39,00:04:20,00:02:52,00:02:44
AMANDA WEIKEL,281,25,6,00:39:35,Female,35-39,Finished,Heat4 12:00,N/A,00:02:33,00:03:10,00:03:27,00:04:53,00:02:04,00:04:12,00:04:41,00:01:38,00:05:18,00:04:46,00:03:57,00:02:26
CINDY CAROLINE,242,26,7,00:39:53,Female,40-44,Finished,Heat2 11:40,N/A,00:02:06,00:02:56,00:03:38,00:04:51,00:01:49,00:05:31,00:04:21,00:02:24,00:06:00,00:04:13,00:03:02,00:02:05
KRISTINE VONGSUKSIRI,228,27,1,00:40:07,Female,U24,Finished,Heat1 11:30,N/A,00:03:04,00:02:39,00:03:23,00:05:11,00:02:16,00:04:51,00:03:46,00:02:07,00:04:20,00:04:29,00:04:15,00:03:04
NANTMANAS KAKANASUVAN,278,28,8,00:40:27,Female,40-44,Finished,Heat4 12:00,N/A,00:03:02,00:03:26,00:03:37,00:06:00,00:02:38,00:03:38,00:04:28,00:01:46,00:04:45,00:05:38,00:02:55,00:02:04
RANGSIMA SONGRID,287,29,7,00:40:56,Female,35-39,Finished,Heat4 12:00,N/A,00:03:00,00:03:16,00:03:59,00:04:58,00:02:10,00:04:07,00:04:41,00:02:14,00:05:38,00:04:09,00:04:09,00:02:10
LAPASSAKORN SANGSAWANG,265,30,9,00:40:56,Female,40-44,Finished,Heat3 11:50,N/A,00:02:21,00:03:07,00:03:49,00:05:03,00:02:04,00:04:03,00:05:04,00:02:33,00:05:24,00:04:22,00:03:52,00:02:41
NURUL NASUHA AHSIN,264,31,2,00:41:00,Female,25-29,Finished,Heat3 11:50,N/A,00:02:52,00:02:51,00:03:34,00:04:41,00:02:10,00:05:13,00:05:10,00:01:53,00:06:10,00:04:14,00:03:30,00:02:13
"LI KHENG, CYNTHIA KOH",272,32,3,00:41:10,Female,45-49,Finished,Heat3 11:50,N/A,00:02:33,00:03:00,00:03:54,00:05:03,00:03:17,00:04:57,00:04:02,00:02:02,00:05:33,00:04:16,00:02:42,00:02:36
WA WA,283,33,10,00:41:11,Female,40-44,Finished,Heat4 12:00,N/A,00:03:03,00:03:07,00:03:47,00:05:01,00:02:24,00:03:31,00:05:25,00:04:12,00:03:26,00:04:52,00:03:36,00:02:25
LIMWARLAHAMORN RACHITA,276,34,8,00:41:26,Female,35-39,Finished,Heat4 12:00,N/A,00:02:25,00:02:59,00:03:26,00:05:52,00:02:35,00:04:32,00:05:24,00:01:45,00:02:54,00:05:11,00:05:15,00:02:42
