Pos,Race No,Name,Net Time,Time Adj,Category,Cat Pos,Start,RUN,SKI,DEADBALL BURPEES,BIKE,FARMER'S CARRY,SHUTTLE RUNS,RUSSIAN TWISTS,SANDBAG GAUNTLET,ROW,SQUAT THRUSTS,THE MULE,SLED PUSH & PULL,RUN Workout Time,SKI Workout Time,DEADBALL BURPEES Workout Time,BIKE Workout Time,FARMER'S CARRY Workout Time,SHUTTLE RUNS Workout Time,RUSSIAN TWISTS Workout Time,SANDBAG GAUNTLET Workout Time,ROW Workout Time,SQUAT THRUSTS Workout Time,THE MULE Workout Time,SLED PUSH & PULL Workout Time
1,547,Pongsakorn Pinworasarn,00:12:38,,M18-39,1,0:00:00,00:01:32,00:02:33,00:03:17,00:04:23,00:05:00,00:07:07,00:08:04,00:08:57,00:10:12,00:10:51,00:11:43,00:12:38,00:01:32,00:01:01,00:00:44,00:01:06,00:00:37,00:02:07,00:00:57,00:00:53,00:01:15,00:00:39,00:00:52,00:00:55
2,546,Sukdiphut Pranotnan,00:13:51,,M18-39,2,0:00:00,00:01:41,00:02:42,00:03:27,00:04:37,00:05:24,00:07:50,00:08:49,00:09:45,00:11:17,00:12:04,00:12:53,00:13:51,00:01:41,00:01:01,00:00:45,00:01:10,00:00:47,00:02:26,00:00:59,00:00:56,00:01:32,00:00:47,00:00:49,00:00:58
3,512,Lap Wai Leung,00:13:52,,M18-39,3,0:00:00,00:01:31,00:02:25,00:03:13,00:04:28,00:05:11,00:07:24,00:08:14,00:09:07,00:10:34,00:11:50,00:12:31,00:13:52,00:01:31,00:00:54,00:00:48,00:01:15,00:00:43,00:02:13,00:00:50,00:00:53,00:01:27,00:01:16,00:00:41,00:01:21
4,504,อัครชาตรี มีรอด,00:14:07,,M18-39,4,0:00:00,00:01:41,00:02:45,00:03:37,00:04:45,00:05:24,00:07:44,00:08:41,00:09:39,00:10:59,00:11:49,00:12:31,00:14:07,00:01:41,00:01:04,00:00:52,00:01:08,00:00:39,00:02:20,00:00:57,00:00:58,00:01:20,00:00:50,00:00:42,00:01:36
5,513,Man Kit Lin,00:14:35,,M18-39,5,0:00:00,00:01:37,00:02:29,00:03:33,00:05:02,00:05:42,00:08:14,00:09:08,00:10:10,00:11:43,00:12:25,00:13:16,00:14:35,00:01:37,00:00:52,00:01:04,00:01:29,00:00:40,00:02:32,00:00:54,00:01:02,00:01:33,00:00:42,00:00:51,00:01:19
6,551,Jean-Marc Coendet,00:14:46,,M50+,1,0:00:00,00:01:47,00:02:43,00:03:48,00:04:49,00:05:38,00:08:06,00:09:10,00:10:28,00:11:53,00:13:02,00:13:39,00:14:46,00:01:47,00:00:56,00:01:05,00:01:01,00:00:49,00:02:28,00:01:04,00:01:18,00:01:25,00:01:09,00:00:37,00:01:07
7,525,Yu Wong,00:15:20,,M18-39,6,0:00:00,00:01:48,00:02:46,00:03:45,00:05:19,00:05:58,00:08:49,00:09:48,00:10:54,00:12:28,00:13:24,00:14:11,00:15:20,00:01:48,00:00:58,00:00:59,00:01:34,00:00:39,00:02:51,00:00:59,00:01:06,00:01:34,00:00:56,00:00:47,00:01:09
8,503,Haris Saong,00:16:03,,M18-39,7,0:00:00,00:01:37,00:02:41,00:03:28,00:05:04,00:05:54,00:08:17,00:09:25,00:10:49,00:12:44,00:13:49,00:14:21,00:16:03,00:01:37,00:01:04,00:00:47,00:01:36,00:00:50,00:02:23,00:01:08,00:01:24,00:01:55,00:01:05,00:00:32,00:01:42
9,517,Alastair Royce Tay,00:16:25,,M18-39,8,0:00:00,00:01:47,00:02:43,00:03:42,00:05:07,00:05:57,00:09:00,00:09:53,00:11:02,00:13:10,00:14:03,00:15:10,00:16:25,00:01:47,00:00:56,00:00:59,00:01:25,00:00:50,00:03:03,00:00:53,00:01:09,00:02:08,00:00:53,00:01:07,00:01:15
10,505,Islam Nor Zikri Bin Syukri,00:16:34,,M18-39,9,0:00:00,00:01:53,00:02:55,00:03:40,00:05:16,00:06:09,00:08:40,00:09:37,00:11:26,00:13:31,00:14:18,00:14:50,00:16:34,00:01:53,00:01:02,00:00:45,00:01:36,00:00:53,00:02:31,00:00:57,00:01:49,00:02:05,00:00:47,00:00:32,00:01:44
11,519,Mohamad Khairil Fadlillah Bin Said,00:17:22,,M18-39,10,0:00:00,00:02:14,00:03:17,00:04:19,00:06:01,00:06:47,00:09:30,00:10:25,00:11:40,00:13:40,00:14:38,00:15:47,00:17:22,00:02:14,00:01:03,00:01:02,00:01:42,00:00:46,00:02:43,00:00:55,00:01:15,00:02:00,00:00:58,00:01:09,00:01:35
12,531,Teck Liang Lee,00:18:08,,M40-49,1,0:00:00,00:01:36,00:03:08,00:04:20,00:06:01,00:06:51,00:09:09,00:10:22,00:11:42,00:13:52,00:15:32,00:16:36,00:18:08,00:01:36,00:01:32,00:01:12,00:01:41,00:00:50,00:02:18,00:01:13,00:01:20,00:02:10,00:01:40,00:01:04,00:01:32
13,544,Anders Borgstroem,00:18:23,,M50+,2,0:00:00,00:02:06,00:03:05,00:04:16,00:06:00,00:06:44,00:09:24,00:10:22,00:11:48,00:14:09,00:15:06,00:17:23,00:18:23,00:02:06,00:00:59,00:01:11,00:01:44,00:00:44,00:02:40,00:00:58,00:01:26,00:02:21,00:00:57,00:02:17,00:01:00
14,509,Amirul Danial Mohd Hasni,00:18:34,,M18-39,11,0:00:00,00:01:42,00:02:44,00:03:31,00:05:07,00:06:04,00:08:49,00:10:18,00:12:24,00:14:31,00:15:55,00:16:42,00:18:34,00:01:42,00:01:02,00:00:47,00:01:36,00:00:57,00:02:45,00:01:29,00:02:06,00:02:07,00:01:24,00:00:47,00:01:52
16,550,Ammarin Henthanasap,00:18:50,,M18-39,13,0:00:00,00:02:32,00:03:31,00:04:37,00:06:19,00:07:17,00:10:03,00:11:09,00:12:50,00:15:07,00:16:09,00:17:23,00:18:50,00:02:32,00:00:59,00:01:06,00:01:42,00:00:58,00:02:46,00:01:06,00:01:41,00:02:17,00:01:02,00:01:14,00:01:27
17,518,ภูริทัต หมั่นพลศรี,00:18:57,,M18-39,14,0:00:00,00:01:44,00:03:01,00:04:06,00:05:54,00:06:44,00:09:34,00:10:35,00:12:17,00:14:28,00:16:11,00:17:07,00:18:57,00:01:44,00:01:17,00:01:05,00:01:48,00:00:50,00:02:50,00:01:01,00:01:42,00:02:11,00:01:43,00:00:56,00:01:50
18,536,Alexander Kopeykin,00:19:12,,M40-49,2,0:00:00,00:02:01,00:03:12,00:04:14,00:05:41,00:06:38,00:09:42,00:10:58,00:12:31,00:14:58,00:16:11,00:17:32,00:19:12,00:02:01,00:01:11,00:01:02,00:01:27,00:00:57,00:03:04,00:01:16,00:01:33,00:02:27,00:01:13,00:01:21,00:01:40
19,541,Kc Seow,00:19:23,,M40-49,3,0:00:00,00:02:00,00:03:21,00:04:23,00:06:03,00:07:04,00:10:05,00:11:19,00:12:26,00:15:29,00:16:34,00:17:45,00:19:23,00:02:00,00:01:21,00:01:02,00:01:40,00:01:01,00:03:01,00:01:14,00:01:07,00:03:03,00:01:05,00:01:11,00:01:38
20,548,Sheldon Wong Soo Ee,00:20:04,,M40-49,4,0:00:00,00:01:55,00:03:23,00:04:31,00:06:27,00:07:15,00:10:21,00:11:59,00:13:48,00:16:17,00:17:18,00:18:04,00:20:04,00:01:55,00:01:28,00:01:08,00:01:56,00:00:48,00:03:06,00:01:38,00:01:49,00:02:29,00:01:01,00:00:46,00:02:00
21,530,Thepanant Narang,00:20:06,,M40-49,5,0:00:00,00:02:28,00:03:51,00:04:57,00:06:26,00:07:39,00:10:24,00:11:52,00:13:39,00:16:12,00:17:17,00:18:37,00:20:06,00:02:28,00:01:23,00:01:06,00:01:29,00:01:13,00:02:45,00:01:28,00:01:47,00:02:33,00:01:05,00:01:20,00:01:29
22,528,Andrew Jonathan Martin,00:20:27,,M40-49,6,0:00:00,00:02:02,00:03:16,00:04:30,00:06:20,00:07:20,00:09:55,00:11:45,00:13:14,00:15:49,00:17:40,00:19:01,00:20:27,00:02:02,00:01:14,00:01:14,00:01:50,00:01:00,00:02:35,00:01:50,00:01:29,00:02:35,00:01:51,00:01:21,00:01:26
