Pos,Race No,Name,Net Time,Time Adj,Category,Cat Pos,Start,RUN,SKI,DEADBALL BURPEES,BIKE,FARMER'S CARRY,SHUTTLE RUNS,RUSSIAN TWISTS,SANDBAG GAUNTLET,ROW,SQUAT THRUSTS,THE MULE,SLED PUSH & PULL,RUN Workout Time,SKI Workout Time,DEADBALL BURPEES Workout Time,BIKE Workout Time,FARMER'S CARRY Workout Time,SHUTTLE RUNS Workout Time,RUSSIAN TWISTS Workout Time,SANDBAG GAUNTLET Workout Time,ROW Workout Time,SQUAT THRUSTS Workout Time,THE MULE Workout Time,SLED PUSH & PULL Workout Time
1,5705,Dini Schatzmann,0:15:57,,M16-39,1,0:00:00,0:01:56,0:03:03,0:03:57,0:05:34,0:06:11,0:08:39,0:09:41,0:10:44,0:12:08,0:13:21,0:14:23,0:15:57,0:01:56,0:01:07,0:00:54,0:01:37,0:00:37,0:02:28,0:01:02,0:01:03,0:01:24,0:01:13,0:01:02,0:01:34
2,3801,Muhammad Syukri,0:16:02,,M16-39,2,0:00:00,0:01:51,0:02:50,0:03:51,0:05:14,0:05:55,0:08:15,0:09:07,0:10:14,0:11:42,0:13:06,0:14:40,0:16:02,0:01:51,0:00:59,0:01:01,0:01:23,0:00:41,0:02:20,0:00:52,0:01:07,0:01:28,0:01:24,0:01:34,0:01:22
3,656,Lucas Gerald Pereira,0:17:42,,M16-39,3,0:00:00,0:02:08,0:03:03,0:04:01,0:05:16,0:06:06,0:08:44,0:09:40,0:10:58,0:12:45,0:14:32,0:16:06,0:17:42,0:02:08,0:00:55,0:00:58,0:01:15,0:00:50,0:02:38,0:00:56,0:01:18,0:01:47,0:01:47,0:01:34,0:01:36
4,2450,Eric Chai Yu Keong,0:18:06,,M16-39,4,0:00:00,0:02:06,0:03:15,0:04:26,0:06:01,0:06:47,0:09:29,0:10:20,0:11:36,0:13:27,0:15:26,0:16:49,0:18:06,0:02:06,0:01:09,0:01:11,0:01:35,0:00:46,0:02:42,0:00:51,0:01:16,0:01:51,0:01:59,0:01:23,0:01:17
5,5067,Lim Kien Tat,0:18:11,,M16-39,5,0:00:00,0:02:00,0:02:54,0:03:47,0:05:21,0:06:10,0:08:43,0:09:32,0:10:40,0:12:47,0:14:26,0:15:57,0:18:11,0:02:00,0:00:54,0:00:53,0:01:34,0:00:49,0:02:33,0:00:49,0:01:08,0:02:07,0:01:39,0:01:31,0:02:14
6,900,Co Lun Ong,0:18:12,,M16-39,6,0:00:00,0:02:09,0:03:19,0:04:23,0:05:48,0:06:35,0:09:10,0:10:10,0:11:57,0:13:57,0:15:23,0:16:45,0:18:12,0:02:09,0:01:10,0:01:04,0:01:25,0:00:47,0:02:35,0:01:00,0:01:47,0:02:00,0:01:26,0:01:22,0:01:27
7,2651,Shaun Phoon,0:18:20,,M16-39,7,0:00:00,0:02:02,0:03:05,0:04:04,0:05:29,0:06:15,0:09:08,0:10:12,0:11:36,0:13:39,0:14:51,0:16:12,0:18:20,0:02:02,0:01:03,0:00:59,0:01:25,0:00:46,0:02:53,0:01:04,0:01:24,0:02:03,0:01:12,0:01:21,0:02:08
8,4346,Oualid Sefriani,0:18:40,,M16-39,8,0:00:00,0:02:25,0:03:20,0:04:24,0:05:52,0:06:49,0:09:49,0:10:43,0:12:07,0:14:02,0:15:32,0:16:57,0:18:40,0:02:25,0:00:55,0:01:04,0:01:28,0:00:57,0:03:00,0:00:54,0:01:24,0:01:55,0:01:30,0:01:25,0:01:43
9,5531,Jing Ren,0:18:46,,M16-39,9,0:00:00,0:02:00,0:03:07,0:04:16,0:05:44,0:06:44,0:09:46,0:10:25,0:11:53,0:13:48,0:15:03,0:16:28,0:18:46,0:02:00,0:01:07,0:01:09,0:01:28,0:01:00,0:03:02,0:00:39,0:01:28,0:01:55,0:01:15,0:01:25,0:02:18
10,2684,Alif Naqiuddin Roslan,0:19:03,,M16-39,10,0:00:00,0:02:16,0:03:08,0:04:17,0:05:42,0:06:42,0:09:26,0:10:25,0:11:54,0:13:34,0:15:06,0:16:42,0:19:03,0:02:16,0:00:52,0:01:09,0:01:25,0:01:00,0:02:44,0:00:59,0:01:29,0:01:40,0:01:32,0:01:36,0:02:21
