Pos,Race No,Name,Net Time,Time Adj,Category,Cat Pos,Member1,Member2,Start,RUN,SKI,DEADBALL BURPEES,BIKE,FARMER'S CARRY,SHUTTLE RUNS,RUSSIAN TWISTS,SANDBAG GAUNTLET,ROW,SQUAT THRUSTS,THE MULE,SLED PUSH & PULL,RUN Workout Time,SKI Workout Time,DEADBALL BURPEES Workout Time,BIKE Workout Time,FARMER'S CARRY Workout Time,SHUTTLE RUNS Workout Time,RUSSIAN TWISTS Workout Time,SANDBAG GAUNTLET Workout Time,ROW Workout Time,SQUAT THRUSTS Workout Time,THE MULE Workout Time,SLED PUSH & PULL Workout Time
1,8471,Two halves make a Hybrid,00:21:25,, ,,Luke Hastings,James Hogg,0:00:00,00:01:28,00:03:09,00:05:00,00:07:00,00:08:28,00:11:35,00:13:13,00:15:09,00:17:38,00:19:19,00:20:25,00:21:25,00:01:28,00:01:41,00:01:51,00:02:00,00:01:28,00:03:07,00:01:38,00:01:56,00:02:29,00:01:41,00:01:06,00:01:00
2,8571,BREW Bros,00:22:01,, ,,Noppong Chaipukdee,Sinthu Kosasih,0:00:00,00:01:40,00:03:30,00:05:30,00:07:42,00:09:17,00:12:46,00:14:18,00:16:14,00:18:40,00:19:59,00:21:03,00:22:01,00:01:40,00:01:50,00:02:00,00:02:12,00:01:35,00:03:29,00:01:32,00:01:56,00:02:26,00:01:19,00:01:04,00:00:58
3,8491,FD HERMANOS,00:22:20,, ,,Zhang Yu Seah,Gilbert Tenorio,0:00:00,00:01:35,00:03:14,00:04:57,00:06:35,00:08:41,00:12:26,00:13:52,00:15:49,00:18:31,00:20:07,00:21:20,00:22:20,00:01:35,00:01:39,00:01:43,00:01:38,00:02:06,00:03:45,00:01:26,00:01:57,00:02:42,00:01:36,00:01:13,00:01:00
4,50268,Peak365,00:22:40,, ,,Mark Cleaver,Naphongpuck Chiwaruck,0:00:00,00:01:41,00:03:20,00:04:55,00:06:44,00:08:55,00:12:40,00:14:17,00:16:21,00:18:40,00:20:24,00:21:40,00:22:40,00:01:41,00:01:39,00:01:35,00:01:49,00:02:11,00:03:45,00:01:37,00:02:04,00:02:19,00:01:44,00:01:16,00:01:00
5,8521,MAS,00:24:24,, ,,Harneshpal Singh Bhullar,Mohd Saddam Bin Mohd Pittli,0:00:00,00:02:01,00:04:18,00:06:17,00:08:47,00:10:26,00:14:01,00:15:40,00:18:07,00:20:26,00:22:11,00:23:27,00:24:24,00:02:01,00:02:17,00:01:59,00:02:30,00:01:39,00:03:35,00:01:39,00:02:27,00:02:19,00:01:45,00:01:16,00:00:57
6,8431,RM9,00:24:26,, ,,Nithikhom Audomlak,Nat Suriyabantoeng,0:00:00,00:01:36,00:03:38,00:05:33,00:07:55,00:09:29,00:13:26,00:15:11,00:17:46,00:20:30,00:22:08,00:23:20,00:24:26,00:01:36,00:02:02,00:01:55,00:02:22,00:01:34,00:03:57,00:01:45,00:02:35,00:02:44,00:01:38,00:01:12,00:01:06
7,8111,Team REVL,00:24:54,, ,,Wilson Ooi,Ollie Wang,0:00:00,00:01:38,00:03:26,00:05:46,00:07:47,00:09:30,00:13:15,00:15:18,00:17:27,00:20:16,00:22:25,00:23:34,00:24:54,00:01:38,00:01:48,00:02:20,00:02:01,00:01:43,00:03:45,00:02:03,00:02:09,00:02:49,00:02:09,00:01:09,00:01:20
8,8081,The Dark Knights,00:25:10,, ,,Sameh Eskander,Joel Darko,0:00:00,00:01:36,00:03:47,00:06:08,00:08:30,00:10:30,00:14:24,00:16:00,00:18:19,00:21:08,00:22:42,00:24:01,00:25:10,00:01:36,00:02:11,00:02:21,00:02:22,00:02:00,00:03:54,00:01:36,00:02:19,00:02:49,00:01:34,00:01:19,00:01:09
9,50266,XPODIUM,00:25:17,, ,,Egra Kim,Sangwoo Han,0:00:00,00:01:55,00:03:55,00:05:34,00:07:50,00:09:43,00:13:37,00:15:28,00:17:52,00:20:49,00:22:35,00:24:08,00:25:17,00:01:55,00:02:00,00:01:39,00:02:16,00:01:53,00:03:54,00:01:51,00:02:24,00:02:57,00:01:46,00:01:33,00:01:09
10,8161,TOP TO TOE,00:26:14,, ,,Kanes Yutthaprasert,Sitthichai Kaewserm,0:00:00,00:01:36,00:03:50,00:05:55,00:08:15,00:10:06,00:14:06,00:15:50,00:18:23,00:21:28,00:23:41,00:24:57,00:26:14,00:01:36,00:02:14,00:02:05,00:02:20,00:01:51,00:04:00,00:01:44,00:02:33,00:03:05,00:02:13,00:01:16,00:01:17
