Pos,Race No,Name,Net Time,Time Adj,Category,Cat Pos,Member1,Member2,Start,RUN,SKI,DEADBALL BURPEES,BIKE,FARMER'S CARRY,SHUTTLE RUNS,RUSSIAN TWISTS,SANDBAG GAUNTLET,ROW,SQUAT THRUSTS,THE MULE,SLED PUSH & PULL,RUN Workout Time,SKI Workout Time,DEADBALL BURPEES Workout Time,BIKE Workout Time,FARMER'S CARRY Workout Time,SHUTTLE RUNS Workout Time,RUSSIAN TWISTS Workout Time,SANDBAG GAUNTLET Workout Time,ROW Workout Time,SQUAT THRUSTS Workout Time,THE MULE Workout Time,SLED PUSH & PULL Workout Time
1,1529,Team Malaysia,0:22:23,,Male 16-39,1,Ho Kiat Lee,Mohd Saddam Bin Mohd Pittli,0:00:00,0:01:36,0:03:28,0:04:59,0:07:14,0:08:50,0:12:33,0:14:00,0:15:50,0:17:55,0:19:54,0:21:03,0:22:23,0:01:36,0:01:52,0:01:31,0:02:15,0:01:36,0:03:43,0:01:27,0:01:50,0:02:05,0:01:59,0:01:09,0:01:20
2,3813,"Not Fast, Just Furious",0:23:46,,Male 16-39,2,Zhang Yu Seah,Han Seang Ng,0:00:00,0:01:48,0:03:43,0:05:24,0:07:45,0:09:22,0:13:13,0:14:36,0:16:27,0:19:06,0:21:09,0:22:24,0:23:46,0:01:48,0:01:55,0:01:41,0:02:21,0:01:37,0:03:51,0:01:23,0:01:51,0:02:39,0:02:03,0:01:15,0:01:22
3,1542,Rush & crush,0:24:24,,Male 16-39,3,Jawad Krouma,Fayez Alkuzbari,0:00:00,0:01:41,0:03:31,0:05:23,0:07:51,0:09:37,0:13:36,0:14:57,0:16:56,0:19:33,0:21:37,0:23:03,0:24:24,0:01:41,0:01:50,0:01:52,0:02:28,0:01:46,0:03:59,0:01:21,0:01:59,0:02:37,0:02:04,0:01:26,0:01:21
4,831,Bicepswinraces,0:24:48,,Male 16-39,4,Eugene Wong,Wilson Wei Xuan Ng,0:00:00,0:01:38,0:03:38,0:05:36,0:08:10,0:09:43,0:13:19,0:14:45,0:16:39,0:19:35,0:21:50,0:23:06,0:24:48,0:01:38,0:02:00,0:01:58,0:02:34,0:01:33,0:03:36,0:01:26,0:01:54,0:02:56,0:02:15,0:01:16,0:01:42
5,3909,BT2.0,0:24:49,,Male 16-39,5,Smith Goh,Yong Simon,0:00:00,0:01:43,0:03:58,0:05:59,0:08:30,0:10:03,0:13:43,0:15:14,0:16:58,0:19:44,0:21:47,0:23:06,0:24:49,0:01:43,0:02:15,0:02:01,0:02:31,0:01:33,0:03:40,0:01:31,0:01:44,0:02:46,0:02:03,0:01:19,0:01:43
6,637,Old But Gold,0:25:18,,Male 40-49,1,Clement Zhao,Jiun Liang Tay,0:00:00,0:01:49,0:03:56,0:06:08,0:08:36,0:10:26,0:14:35,0:16:07,0:17:54,0:20:39,0:22:39,0:23:48,0:25:18,0:01:49,0:02:07,0:02:12,0:02:28,0:01:50,0:04:09,0:01:32,0:01:47,0:02:45,0:02:00,0:01:09,0:01:30
7,2349,Sengriea,0:25:37,,Male 16-39,6,Seng Han Lim,Kyrie Azry,0:00:00,0:01:47,0:03:50,0:05:40,0:08:14,0:09:50,0:13:38,0:15:18,0:17:28,0:20:16,0:22:27,0:23:39,0:25:37,0:01:47,0:02:03,0:01:50,0:02:34,0:01:36,0:03:48,0:01:40,0:02:10,0:02:48,0:02:11,0:01:12,0:01:58
8,5281,Double Standard,0:25:38,,Male 16-39,7,Prince Hew,Marc Le,0:00:00,0:01:39,0:03:35,0:05:27,0:07:47,0:09:35,0:13:24,0:15:06,0:17:28,0:20:21,0:22:24,0:23:39,0:25:38,0:01:39,0:01:56,0:01:52,0:02:20,0:01:48,0:03:49,0:01:42,0:02:22,0:02:53,0:02:03,0:01:15,0:01:59
9,4874,White Wine,0:25:47,,Male 16-39,8,Julius Ong,Gilbert Tenorio Cortes,0:00:00,0:02:02,0:03:51,0:05:52,0:07:48,0:09:31,0:13:31,0:15:10,0:17:08,0:20:04,0:22:40,0:23:59,0:25:47,0:02:02,0:01:49,0:02:01,0:01:56,0:01:43,0:04:00,0:01:39,0:01:58,0:02:56,0:02:36,0:01:19,0:01:48
10,3799,REVL KL,0:26:07,,Male 16-39,9,Simon John Porter,Elton Li Hern Toh,0:00:00,0:01:38,0:03:39,0:05:21,0:07:31,0:09:32,0:13:43,0:15:19,0:17:38,0:20:30,0:23:12,0:24:34,0:26:07,0:01:38,0:02:01,0:01:42,0:02:10,0:02:01,0:04:11,0:01:36,0:02:19,0:02:52,0:02:42,0:01:22,0:01:33
11,306,DUO H,0:26:13,,Male 16-39,10,Hadib Han Hamka,Chin Hong Lim,0:00:00,0:01:54,0:04:00,0:05:48,0:08:12,0:10:16,0:14:04,0:15:45,0:17:53,0:20:30,0:22:52,0:24:22,0:26:13,0:01:54,0:02:06,0:01:48,0:02:24,0:02:04,0:03:48,0:01:41,0:02:08,0:02:37,0:02:22,0:01:30,0:01:51
12,5216,Eagle Eye,0:26:31,,Male 16-39,11,Danish Hakim,Norman Hakim,0:00:00,0:01:52,0:03:54,0:05:54,0:08:23,0:10:03,0:14:00,0:15:56,0:18:08,0:20:49,0:23:30,0:24:56,0:26:31,0:01:52,0:02:02,0:02:00,0:02:29,0:01:40,0:03:57,0:01:56,0:02:12,0:02:41,0:02:41,0:01:26,0:01:35
13,5071,Gasing Gators,0:26:41,,Male 16-39,12,Danial Lissborg,Julian Morisset,0:00:00,0:01:41,0:03:39,0:05:23,0:07:44,0:09:45,0:13:46,0:15:37,0:17:33,0:20:32,0:22:51,0:24:32,0:26:41,0:01:41,0:01:58,0:01:44,0:02:21,0:02:01,0:04:01,0:01:51,0:01:56,0:02:59,0:02:19,0:01:41,0:02:09
