Pos,Race No,Name,Net Time,Time Adj,Category,Cat Pos,Start,RUN,SKI,DEADBALL BURPEES,BIKE,FARMER'S CARRY,SHUTTLE RUNS,RUSSIAN TWISTS,SANDBAG GAUNTLET,ROW,SQUAT THRUSTS,THE MULE,SLED PUSH & PULL,RUN Workout Time,SKI Workout Time,DEADBALL BURPEES Workout Time,BIKE Workout Time,FARMER'S CARRY Workout Time,SHUTTLE RUNS Workout Time,RUSSIAN TWISTS Workout Time,SANDBAG GAUNTLET Workout Time,ROW Workout Time,SQUAT THRUSTS Workout Time,THE MULE Workout Time,SLED PUSH & PULL Workout Time
1,1528,Ho Kiat Lee,0:30:08,,M16-39,1,0:00:00,0:01:41,0:03:23,0:05:53,0:08:10,0:10:28,0:14:50,0:16:28,0:19:04,0:21:32,0:24:11,0:25:48,0:30:08,0:01:41,0:01:42,0:02:30,0:02:17,0:02:18,0:04:22,0:01:38,0:02:36,0:02:28,0:02:39,0:01:37,0:04:20
2,4427,Nick Tisinger,0:30:45,,M16-39,2,0:00:00,0:01:40,0:03:45,0:06:05,0:08:31,0:10:18,0:14:30,0:16:16,0:19:08,0:21:52,0:25:26,0:26:52,0:30:45,0:01:40,0:02:05,0:02:20,0:02:26,0:01:47,0:04:12,0:01:46,0:02:52,0:02:44,0:03:34,0:01:26,0:03:53
3,1240,Saddam Pittli,0:30:57,,M16-39,3,0:00:00,0:01:29,0:03:52,0:06:16,0:08:40,0:11:06,0:14:46,0:16:32,0:19:02,0:21:40,0:24:41,0:26:11,0:30:57,0:01:29,0:02:23,0:02:24,0:02:24,0:02:26,0:03:40,0:01:46,0:02:30,0:02:38,0:03:01,0:01:30,0:04:46
4,4781,Julien Prieur,0:31:25,,M16-39,4,0:00:00,0:01:41,0:04:11,0:06:46,0:09:29,0:11:25,0:15:26,0:17:00,0:19:49,0:22:39,0:25:53,0:27:12,0:31:25,0:01:41,0:02:30,0:02:35,0:02:43,0:01:56,0:04:01,0:01:34,0:02:49,0:02:50,0:03:14,0:01:19,0:04:13
5,153,Zhang Yu Seah,0:32:34,,M16-39,5,0:00:00,0:01:40,0:03:45,0:06:18,0:09:13,0:11:14,0:15:44,0:17:42,0:20:32,0:23:24,0:26:13,0:27:32,0:32:34,0:01:40,0:02:05,0:02:33,0:02:55,0:02:01,0:04:30,0:01:58,0:02:50,0:02:52,0:02:49,0:01:19,0:05:02
6,4754,Christopher Yee,0:32:38,,M16-39,6,0:00:00,0:01:39,0:03:45,0:06:32,0:09:09,0:11:11,0:15:30,0:17:10,0:19:57,0:22:59,0:26:25,0:27:57,0:32:38,0:01:39,0:02:06,0:02:47,0:02:37,0:02:02,0:04:19,0:01:40,0:02:47,0:03:02,0:03:26,0:01:32,0:04:41
7,2679,Najaat Sabri,0:34:22,,M16-39,7,0:00:00,0:02:11,0:04:22,0:06:58,0:09:30,0:11:33,0:16:39,0:19:04,0:22:20,0:25:28,0:28:21,0:30:00,0:34:22,0:02:11,0:02:11,0:02:36,0:02:32,0:02:03,0:05:06,0:02:25,0:03:16,0:03:08,0:02:53,0:01:39,0:04:22
8,5082,Ashkan Daneshvar,0:36:05,,M16-39,8,0:00:00,0:01:48,0:04:25,0:06:56,0:09:38,0:11:58,0:16:48,0:19:38,0:22:20,0:25:37,0:28:56,0:30:34,0:36:05,0:01:48,0:02:37,0:02:31,0:02:42,0:02:20,0:04:50,0:02:50,0:02:42,0:03:17,0:03:19,0:01:38,0:05:31
9,5283,Quentin Cloarec,0:36:37,+3:00,M16-39,9,0:00:00,0:01:51,0:04:03,0:06:57,0:09:54,0:11:47,0:16:10,0:18:05,0:21:37,0:25:02,0:30:13,0:31:39,0:33:37,0:01:51,0:02:12,0:02:54,0:02:57,0:01:53,0:04:23,0:01:55,0:03:32,0:03:25,0:05:11,0:01:26,00:01:58*
10,438,Adam Malek Sahadian,0:37:41,,M16-39,10,0:00:00,0:01:45,0:04:14,0:07:08,0:09:43,0:12:19,0:16:34,0:19:08,0:22:54,0:26:21,0:29:45,0:31:21,0:37:41,0:01:45,0:02:29,0:02:54,0:02:35,0:02:36,0:04:15,0:02:34,0:03:46,0:03:27,0:03:24,0:01:36,0:06:20
