Pos,Race No,Name,Net Time,Time Adj,Category,Cat Pos,Start,RUN,SKI,DEADBALL BURPEES,BIKE,FARMER'S CARRY,SHUTTLE RUNS,RUSSIAN TWISTS,SANDBAG GAUNTLET,ROW,SQUAT THRUSTS,THE MULE,SLED PUSH & PULL,RUN Workout Time,SKI Workout Time,DEADBALL BURPEES Workout Time,BIKE Workout Time,FARMER'S CARRY Workout Time,SHUTTLE RUNS Workout Time,RUSSIAN TWISTS Workout Time,SANDBAG GAUNTLET Workout Time,ROW Workout Time,SQUAT THRUSTS Workout Time,THE MULE Workout Time,SLED PUSH & PULL Workout Time
1,216,Christian Kirrbach,0:27:38,,M16-39,1,0:00:00,0:01:54,0:03:58,0:06:05,0:08:49,0:10:10,0:14:34,0:16:01,0:17:31,0:20:12,0:23:17,0:24:58,0:27:38,0:01:54,0:02:04,0:02:07,0:02:44,0:01:21,0:04:24,0:01:27,0:01:30,0:02:41,0:03:05,0:01:41,0:02:40
2,5092,Mohd Raihan Sufian Hasni,0:27:42,,M16-39,2,0:00:00,0:02:00,0:04:31,0:06:47,0:09:29,0:10:56,0:15:27,0:16:57,0:18:18,0:21:23,0:23:10,0:24:57,0:27:42,0:02:00,0:02:31,0:02:16,0:02:42,0:01:27,0:04:31,0:01:30,0:01:21,0:03:05,0:01:47,0:01:47,0:02:45
3,690,Oscar Yeong,0:28:14,,M16-39,3,0:00:00,0:01:54,0:04:07,0:06:27,0:09:00,0:10:18,0:15:05,0:16:44,0:18:10,0:20:59,0:24:21,0:26:09,0:28:42,0:01:54,0:02:13,00:02:20*,0:02:33,0:01:18,0:04:47,0:01:39,0:01:26,0:02:49,0:03:22,0:01:48,0:02:33
4,5309,Abdul Rahman Abu Hasan,0:28:22,,M40-49,1,0:00:00,0:01:52,0:04:28,0:06:55,0:09:33,0:11:13,0:15:55,0:17:52,0:19:27,0:22:47,0:25:36,0:27:21,0:28:22,0:01:52,0:02:36,0:02:27,0:02:38,0:01:40,0:04:42,0:01:57,0:01:35,0:03:20,0:02:49,0:01:45,0:01:01
5,5409,Abd Hanif Abd Hamid,0:28:29,,M40-49,2,0:00:00,0:02:04,0:04:12,0:06:27,0:09:12,0:10:33,0:15:26,0:17:15,0:18:41,0:21:31,0:23:58,0:25:42,0:28:29,0:02:04,0:02:08,0:02:15,0:02:45,0:01:21,0:04:53,0:01:49,0:01:26,0:02:50,0:02:27,0:01:44,0:02:47
6,2489,Aden Foong,0:28:47,,M16-39,4,0:00:00,0:01:48,0:04:01,0:06:12,0:08:47,0:10:36,0:14:55,0:16:44,0:18:07,0:21:21,0:24:05,0:25:41,0:28:47,0:01:48,0:02:13,0:02:11,0:02:35,0:01:49,0:04:19,0:01:49,0:01:23,0:03:14,0:02:44,0:01:36,0:03:06
7,2854,Kevin Lim Wei Vern,0:28:56,,M16-39,5,0:00:00,0:01:38,0:03:59,0:06:11,0:09:00,0:10:08,0:14:54,0:17:09,0:18:38,0:21:57,0:24:32,0:26:08,0:28:56,0:01:38,0:02:21,0:02:12,0:02:49,0:01:08,0:04:46,0:02:15,0:01:29,0:03:19,0:02:35,0:01:36,0:02:48
8,2478,Yuan Qing Lee,0:29:46,,M16-39,6,0:00:00,0:01:48,0:03:34,0:05:55,0:08:24,0:09:50,0:14:58,0:16:43,0:18:41,0:21:44,0:25:10,0:27:23,0:29:46,0:01:48,0:01:46,0:02:21,0:02:29,0:01:26,0:05:08,0:01:45,0:01:58,0:03:03,0:03:26,0:02:13,0:02:23
9,2517,John Chew,0:30:47,,M16-39,7,0:00:00,0:01:51,0:04:14,0:06:59,0:09:51,0:11:33,0:16:13,0:18:23,0:19:59,0:23:23,0:26:13,0:27:43,0:30:47,0:01:51,0:02:23,0:02:45,0:02:52,0:01:42,0:04:40,0:02:10,0:01:36,0:03:24,0:02:50,0:01:30,0:03:04
10,325,Pun Magar,0:30:50,,M16-39,8,0:00:00,0:01:52,0:04:27,0:06:44,0:09:17,0:10:54,0:15:30,0:17:32,0:18:32,0:23:12,0:26:22,0:27:51,0:30:50,0:01:52,0:02:35,0:02:17,0:02:33,0:01:37,0:04:36,0:02:02,0:01:00,0:04:40,0:03:10,0:01:29,0:02:59
11,454,Putra Wayan,0:31:16,,M16-39,9,0:00:00,0:01:47,0:04:01,0:06:19,0:09:19,0:10:39,0:15:51,0:18:18,0:19:40,0:22:40,0:26:27,0:28:20,0:31:16,0:01:47,0:02:14,0:02:18,0:03:00,0:01:20,0:05:12,0:02:27,0:01:22,0:03:00,0:03:47,0:01:53,0:02:56
12,1710,Clement Tan,0:31:20,,M16-39,10,0:00:00,0:02:03,0:04:30,0:06:59,0:09:56,0:11:28,0:16:13,0:17:51,0:19:25,0:23:24,0:26:21,0:28:44,0:31:20,0:02:03,0:02:27,0:02:29,0:02:57,0:01:32,0:04:45,0:01:38,0:01:34,0:03:59,0:02:57,0:02:23,0:02:36
13,4166,Felix Engelhardt,0:31:22,,M16-39,11,0:00:00,0:01:49,0:03:52,0:06:26,0:09:09,0:10:51,0:15:29,0:17:39,0:19:48,0:23:23,0:26:44,0:28:25,0:31:22,0:01:49,0:02:03,0:02:34,0:02:43,0:01:42,0:04:38,0:02:10,0:02:09,0:03:35,0:03:21,0:01:41,0:02:57
14,4463,Christopher Sien,0:31:23,,M16-39,12,0:00:00,0:01:56,0:04:27,0:06:53,0:09:43,0:10:58,0:15:58,0:17:29,0:18:56,0:22:11,0:25:55,0:27:47,0:31:23,0:01:56,0:02:31,0:02:26,0:02:50,0:01:15,0:05:00,0:01:31,0:01:27,0:03:15,0:03:44,0:01:52,0:03:36
15,4745,Tze Wei Low,0:31:27,,M16-39,13,0:00:00,0:02:00,0:04:13,0:06:32,0:09:45,0:11:03,0:15:41,0:17:27,0:19:04,0:22:30,0:25:55,0:28:08,0:31:27,0:02:00,0:02:13,0:02:19,0:03:13,0:01:18,0:04:38,0:01:46,0:01:37,0:03:26,0:03:25,0:02:13,0:03:19
16,3393,Dk Tan,0:31:29,,M16-39,14,0:00:00,0:01:47,0:03:52,0:06:23,0:09:44,0:11:21,0:16:37,0:18:44,0:20:30,0:23:50,0:26:52,0:28:49,0:31:29,0:01:47,0:02:05,0:02:31,0:03:21,0:01:37,0:05:16,0:02:07,0:01:46,0:03:20,0:03:02,0:01:57,0:02:40
17,1154,Saiful Nizam Omar,0:31:48,,M40-49,3,0:00:00,0:01:42,0:04:24,0:07:05,0:10:19,0:11:53,0:16:56,0:19:09,0:21:02,0:24:14,0:26:57,0:28:48,0:31:48,0:01:42,0:02:42,0:02:41,0:03:14,0:01:34,0:05:03,0:02:13,0:01:53,0:03:12,0:02:43,0:01:51,0:03:00
18,1982,Chia Chin Chuah,0:31:59,,M16-39,15,0:00:00,0:01:51,0:04:23,0:07:00,0:10:01,0:11:34,0:16:22,0:18:43,0:20:40,0:24:06,0:26:59,0:28:33,0:31:59,0:01:51,0:02:32,0:02:37,0:03:01,0:01:33,0:04:48,0:02:21,0:01:57,0:03:26,0:02:53,0:01:34,0:03:26
19,4437,Daniel Low,0:32:04,,M16-39,16,0:00:00,0:01:57,0:04:24,0:07:06,0:10:02,0:12:03,0:16:54,0:19:22,0:21:20,0:24:26,0:27:20,0:28:56,0:32:04,0:01:57,0:02:27,0:02:42,0:02:56,0:02:01,0:04:51,0:02:28,0:01:58,0:03:06,0:02:54,0:01:36,0:03:08
20,43,Isaac Lee,0:32:05,,M16-39,17,0:00:00,0:02:12,0:04:29,0:07:04,0:09:45,0:11:23,0:16:21,0:19:11,0:20:58,0:23:58,0:28:06,0:29:56,0:32:05,0:02:12,0:02:17,0:02:35,0:02:41,0:01:38,0:04:58,0:02:50,0:01:47,0:03:00,0:04:08,0:01:50,0:02:09
21,1138,Mark Joseph Singson,0:32:11,,M16-39,18,0:00:00,0:02:01,0:04:22,0:07:20,0:10:24,0:12:00,0:17:07,0:20:02,0:21:30,0:24:47,0:27:48,0:29:20,0:32:11,0:02:01,0:02:21,0:02:58,0:03:04,0:01:36,0:05:07,0:02:55,0:01:28,0:03:17,0:03:01,0:01:32,0:02:51
