Pos,Race No,Name,Net Time,Time Adj,Category,Cat Pos,Member1,Member2,Start,RUN,SKI,DEADBALL BURPEES,BIKE,FARMER'S CARRY,SHUTTLE RUNS,RUSSIAN TWISTS,SANDBAG GAUNTLET,ROW,SQUAT THRUSTS,THE MULE,SLED PUSH & PULL,RUN Workout Time,SKI Workout Time,DEADBALL BURPEES Workout Time,BIKE Workout Time,FARMER'S CARRY Workout Time,SHUTTLE RUNS Workout Time,RUSSIAN TWISTS Workout Time,SANDBAG GAUNTLET Workout Time,ROW Workout Time,SQUAT THRUSTS Workout Time,THE MULE Workout Time,SLED PUSH & PULL Workout Time
1,9201,Who is Tom Cruise?,00:21:13,, ,,Nathan Smailes,Emily Rose,0:00:00,00:01:43,00:03:41,00:05:19,00:07:21,00:08:48,00:12:30,00:13:51,00:15:35,00:17:50,00:19:16,00:20:19,00:21:13,00:01:43,00:01:58,00:01:38,00:02:02,00:01:27,00:03:42,00:01:21,00:01:44,00:02:15,00:01:26,00:01:03,00:00:54
2,10241,ONE HIIT WONDERS,00:22:04,, ,,Zhang Yu Seah,Jia Xin Lim,0:00:00,00:01:38,00:03:23,00:04:53,00:06:53,00:08:34,00:12:36,00:13:54,00:15:43,00:18:19,00:19:53,00:21:02,00:22:04,00:01:38,00:01:45,00:01:30,00:02:00,00:01:41,00:04:02,00:01:18,00:01:49,00:02:36,00:01:34,00:01:09,00:01:02
3,10041,LEE FAM,00:23:58,, ,,Kamolchanok Leerungruang,Vasupol Leerungruang,0:00:00,00:01:48,00:04:02,00:05:51,00:08:05,00:09:47,00:13:44,00:15:22,00:17:42,00:20:11,00:21:35,00:22:46,00:23:58,00:01:48,00:02:14,00:01:49,00:02:14,00:01:42,00:03:57,00:01:38,00:02:20,00:02:29,00:01:24,00:01:11,00:01:12
3,9841,Chobani,00:23:58,+00:20, ,,Tan Joan,Ooi Jj,0:00:00,00:01:48,00:04:04,00:05:56,00:08:18,00:10:06,00:14:03,00:15:40,00:17:27,00:20:16,00:21:54,00:22:49,00:23:38,00:01:48,00:02:16,00:01:52,00:02:22,00:01:48,00:03:57,00:01:37,00:01:47,00:02:49,00:01:38,00:00:55*,00:00:49
5,10211,PeakRoot,00:25:33,, ,,Steven Buchet,Nycky Saynya,0:00:00,00:02:10,00:04:35,00:06:31,00:09:08,00:11:04,00:14:35,00:16:15,00:18:48,00:21:46,00:23:16,00:24:36,00:25:33,00:02:10,00:02:25,00:01:56,00:02:37,00:01:56,00:03:31,00:01:40,00:02:33,00:02:58,00:01:30,00:01:20,00:00:57
6,10221,Wilder Jazzy Lion,00:25:50,, ,,Laiyoung Cheng,Pimvara Jazzy Chongsanguan,0:00:00,00:01:56,00:04:32,00:06:19,00:09:02,00:11:01,00:13:55,00:16:13,00:18:10,00:21:30,00:23:02,00:23:50,00:25:50,00:01:56,00:02:36,00:01:47,00:02:43,00:01:59,00:02:54,00:02:18,00:01:57,00:03:20,00:01:32,00:00:48,00:02:00
7,9911,Raw Club,00:26:02,, ,,Praewmanee Tangkhaotong,Pongsakorn Tangkhaotong,0:00:00,00:01:43,00:04:13,00:06:11,00:08:46,00:10:31,00:14:30,00:16:01,00:18:21,00:21:33,00:23:12,00:23:51,00:26:02,00:01:43,00:02:30,00:01:58,00:02:35,00:01:45,00:03:59,00:01:31,00:02:20,00:03:12,00:01:39,00:00:39,00:02:11
8,9451,JYJ,00:26:07,, ,,Choy Jian Yoong,You Juehua,0:00:00,00:01:55,00:04:04,00:06:06,00:08:30,00:10:11,00:13:58,00:15:40,00:18:15,00:21:49,00:23:47,00:25:13,00:26:07,00:01:55,00:02:09,00:02:02,00:02:24,00:01:41,00:03:47,00:01:42,00:02:35,00:03:34,00:01:58,00:01:26,00:00:54
9,9681,Ban Ban Lai,00:26:14,, ,,Shea-Jean Lim,Bryan Poh,0:00:00,00:02:05,00:04:16,00:06:01,00:08:22,00:10:32,00:14:35,00:16:08,00:18:14,00:21:52,00:23:58,00:25:10,00:26:14,00:02:05,00:02:11,00:01:45,00:02:21,00:02:10,00:04:03,00:01:33,00:02:06,00:03:38,00:02:06,00:01:12,00:01:04
10,9341,MySnaxx คู่โคตรเท่,00:26:20,, ,,Wirasinee Rattananai,Nathan Bartling,0:00:00,00:01:41,00:04:12,00:06:17,00:08:33,00:10:44,00:14:46,00:16:19,00:18:42,00:22:24,00:23:51,00:25:10,00:26:20,00:01:41,00:02:31,00:02:05,00:02:16,00:02:11,00:04:02,00:01:33,00:02:23,00:03:42,00:01:27,00:01:19,00:01:10
11,10181,KraftKarma,00:26:27,, ,,Piyachart Wattanapun,Rick Hilchner,0:00:00,00:01:53,00:03:52,00:05:52,00:08:29,00:10:00,00:14:27,00:16:07,00:19:19,00:21:59,00:23:56,00:25:19,00:26:27,00:01:53,00:01:59,00:02:00,00:02:37,00:01:31,00:04:27,00:01:40,00:03:12,00:02:40,00:01:57,00:01:23,00:01:08
12,50251,(N & N),00:26:39,, ,,Natthakan Chotiditsakul,Chittapong,0:00:00,00:02:06,00:04:33,00:06:33,00:08:56,00:10:50,00:14:50,00:16:25,00:18:50,00:21:44,00:24:00,00:25:39,00:26:39,00:02:06,00:02:27,00:02:00,00:02:23,00:01:54,00:04:00,00:01:35,00:02:25,00:02:54,00:02:16,00:01:39,00:01:00
13,10231,Thulakthule,00:26:53,, ,,Sakchai Sirisawat,Kanaros Termsakcharoen,0:00:00,00:02:08,00:04:26,00:06:19,00:08:45,00:10:43,00:15:10,00:16:50,00:19:11,00:22:33,00:24:18,00:25:55,00:26:53,00:02:08,00:02:18,00:01:53,00:02:26,00:01:58,00:04:27,00:01:40,00:02:21,00:03:22,00:01:45,00:01:37,00:00:58
14,9291,OSHEA,00:27:12,, ,,Donna Oshea,Colin O'Shea,0:00:00,00:01:51,00:04:17,00:06:35,00:08:47,00:10:37,00:14:29,00:16:10,00:19:02,00:22:51,00:24:37,00:25:48,00:27:12,00:01:51,00:02:26,00:02:18,00:02:12,00:01:50,00:03:52,00:01:41,00:02:52,00:03:49,00:01:46,00:01:11,00:01:24
15,10261,MHAENAMMON,00:27:23,, ,,Tanapol Hongfongfah,Kamonwan Changthongkum,0:00:00,00:02:05,00:04:50,00:06:50,00:09:01,00:11:14,00:15:32,00:17:20,00:19:47,00:23:23,00:25:04,00:26:22,00:27:23,00:02:05,00:02:45,00:02:00,00:02:11,00:02:13,00:04:18,00:01:48,00:02:27,00:03:36,00:01:41,00:01:18,00:01:01
16,9511,KK,00:27:23,, ,,Chanbeer Chaipitakkul,Yohara Jirada,0:00:00,00:02:04,00:05:03,00:06:50,00:09:24,00:11:27,00:15:35,00:17:25,00:20:11,00:23:40,00:25:34,00:26:43,00:27:23,00:02:04,00:02:59,00:01:47,00:02:34,00:02:03,00:04:08,00:01:50,00:02:46,00:03:29,00:01:54,00:01:09,00:00:40
17,9321,Help me,00:27:55,, ,,Mathavee Kaewbangkerd,Sawitree Pramnak,0:00:00,00:02:07,00:04:31,00:06:18,00:09:01,00:11:02,00:15:05,00:16:45,00:19:32,00:23:20,00:25:13,00:26:40,00:27:55,00:02:07,00:02:24,00:01:47,00:02:43,00:02:01,00:04:03,00:01:40,00:02:47,00:03:48,00:01:53,00:01:27,00:01:15
18,9941,Stone Elephant,00:28:03,, ,,Hezekyah Huang,Ploypida Palangthanasukit,0:00:00,00:02:00,00:04:37,00:07:02,00:09:33,00:11:30,00:15:41,00:17:25,00:20:33,00:23:53,00:25:31,00:26:56,00:28:03,00:02:00,00:02:37,00:02:25,00:02:31,00:01:57,00:04:11,00:01:44,00:03:08,00:03:20,00:01:38,00:01:25,00:01:07
19,9741,TGC MS,00:28:19,, ,,Marco Velazquez,Sharon Liew,0:00:00,00:01:51,00:04:47,00:06:32,00:09:18,00:11:11,00:15:16,00:16:50,00:20:10,00:23:58,00:25:42,00:27:04,00:28:19,00:01:51,00:02:56,00:01:45,00:02:46,00:01:53,00:04:05,00:01:34,00:03:20,00:03:48,00:01:44,00:01:22,00:01:15
20,10291,SD Power,00:28:24,, ,,David Duncan,Saifon Phongdontree,0:00:00,00:02:08,00:04:29,00:06:27,00:08:32,00:10:26,00:15:15,00:17:16,00:20:10,00:23:20,00:25:46,00:27:25,00:28:24,00:02:08,00:02:21,00:01:58,00:02:05,00:01:54,00:04:49,00:02:01,00:02:54,00:03:10,00:02:26,00:01:39,00:00:59
21,9191,สบายๆ,00:28:24,, ,,Kodchaporn Sonphakdee,Nate Madrid,0:00:00,00:02:03,00:04:37,00:06:27,00:09:02,00:10:57,00:15:10,00:16:49,00:19:06,00:22:47,00:25:36,00:27:16,00:28:24,00:02:03,00:02:34,00:01:50,00:02:35,00:01:55,00:04:13,00:01:39,00:02:17,00:03:41,00:02:49,00:01:40,00:01:08
22,9221,Parham,00:28:31,, ,,Joshua Parham,La-Ongdow Jangrattanatrakun,0:00:00,00:01:55,00:04:28,00:06:42,00:09:24,00:11:26,00:15:42,00:17:30,00:19:44,00:23:55,00:25:27,00:27:14,00:28:31,00:01:55,00:02:33,00:02:14,00:02:42,00:02:02,00:04:16,00:01:48,00:02:14,00:04:11,00:01:32,00:01:47,00:01:17
23,9151,Bread&Peanut butter,00:28:35,, ,,Phakathorn Asawathepmetha,Kaevalee Choi,0:00:00,00:02:24,00:04:39,00:06:18,00:08:54,00:11:09,00:15:31,00:17:17,00:19:52,00:23:38,00:25:46,00:27:24,00:28:35,00:02:24,00:02:15,00:01:39,00:02:36,00:02:15,00:04:22,00:01:46,00:02:35,00:03:46,00:02:08,00:01:38,00:01:11
24,9391,Strawberry Jam,00:28:37,, ,,Pachara Limkraisan,Suthathip Youpuak,0:00:00,00:02:06,00:04:54,00:06:36,00:09:16,00:11:24,00:15:39,00:17:17,00:20:16,00:23:55,00:25:49,00:27:18,00:28:37,00:02:06,00:02:48,00:01:42,00:02:40,00:02:08,00:04:15,00:01:38,00:02:59,00:03:39,00:01:54,00:01:29,00:01:19
25,9731,TGC Titans,00:28:45,, ,,Emmanuel Lo,Hooi Feng Kue,0:00:00,00:01:53,00:04:34,00:06:45,00:09:36,00:11:45,00:15:46,00:17:32,00:20:17,00:24:21,00:25:58,00:27:33,00:28:45,00:01:53,00:02:41,00:02:11,00:02:51,00:02:09,00:04:01,00:01:46,00:02:45,00:04:04,00:01:37,00:01:35,00:01:12
26,10021,Team North East,00:28:50,, ,,Jennifer Hooper,Callum Hewitson,0:00:00,00:02:00,00:04:18,00:06:17,00:08:53,00:11:00,00:14:54,00:16:43,00:19:50,00:23:54,00:25:39,00:27:43,00:28:50,00:02:00,00:02:18,00:01:59,00:02:36,00:02:07,00:03:54,00:01:49,00:03:07,00:04:04,00:01:45,00:02:04,00:01:07
27,9751,39DEGREES,00:28:59,, ,,Rachel Kushbu Limbu,Alastair Royce Tay,0:00:00,00:02:08,00:04:45,00:07:06,00:09:59,00:11:59,00:16:07,00:17:51,00:20:59,00:24:47,00:26:42,00:27:48,00:28:59,00:02:08,00:02:37,00:02:21,00:02:53,00:02:00,00:04:08,00:01:44,00:03:08,00:03:48,00:01:55,00:01:06,00:01:11
28,9021,Hey Bros!,00:29:03,, ,,Natthachai Thiyachaikul,Ornkawee Manarporn,0:00:00,00:02:35,00:04:58,00:06:37,00:09:20,00:11:35,00:16:07,00:17:46,00:20:54,00:24:20,00:26:11,00:27:51,00:29:03,00:02:35,00:02:23,00:01:39,00:02:43,00:02:15,00:04:32,00:01:39,00:03:08,00:03:26,00:01:51,00:01:40,00:01:12
