Pos,Race No,Name,Net Time,Time Adj,Category,Cat Pos,Member1,Member2,Start,RUN,SKI,DEADBALL BURPEES,BIKE,FARMER'S CARRY,SHUTTLE RUNS,RUSSIAN TWISTS,SANDBAG GAUNTLET,ROW,SQUAT THRUSTS,THE MULE,SLED PUSH & PULL,RUN Workout Time,SKI Workout Time,DEADBALL BURPEES Workout Time,BIKE Workout Time,FARMER'S CARRY Workout Time,SHUTTLE RUNS Workout Time,RUSSIAN TWISTS Workout Time,SANDBAG GAUNTLET Workout Time,ROW Workout Time,SQUAT THRUSTS Workout Time,THE MULE Workout Time,SLED PUSH & PULL Workout Time
1,2178,Hot Men Malaysian,00:22:12,,Male 16-39,1,"John Chai
Saddam Pittli","Najaat Sabri
Tan Jaw Tzuu",0:00:00,00:01:36,00:03:14,00:05:55,00:07:50,00:09:32,00:13:18,00:14:24,00:15:18,00:17:30,00:19:17,00:20:23,00:22:12,00:01:36,00:01:38,00:02:41,00:01:55,00:01:42,00:03:46,00:01:06,00:00:54,00:02:12,00:01:47,00:01:06,00:01:49
2,2129,WEAREGRIT,00:22:43,,Male 16-39,2,"Vincent Hia
Johan Lee","Kyle See
Kevin Lim Wei Vern",0:00:00,00:01:40,00:03:30,00:05:41,00:07:23,00:09:02,00:12:56,00:14:11,00:15:10,00:17:32,00:19:40,00:20:47,00:22:43,00:01:40,00:01:50,00:02:11,00:01:42,00:01:39,00:03:54,00:01:15,00:00:59,00:02:22,00:02:08,00:01:07,00:01:56
3,852,Weekends Athletics,00:23:40,,Male 16-39,3,"Eugene Wong
Rex Kon Yan Tat","Wilson Wei Xuan Ng
Chee Wai Leong",0:00:00,00:01:35,00:03:31,00:05:44,00:07:37,00:09:13,00:13:22,00:14:37,00:15:48,00:18:09,00:20:31,00:21:44,00:23:40,00:01:35,00:01:56,00:02:13,00:01:53,00:01:36,00:04:09,00:01:15,00:01:11,00:02:21,00:02:22,00:01:13,00:01:56
4,1148,The boyz,00:24:41,,Male 16-39,4,"Ahmad Alserawan
Jawad Krouma","Fayez Alkuzbari
Abdulrhman Almunajed",0:00:00,00:01:35,00:03:43,00:07:01,00:08:56,00:11:09,00:16:18,00:16:57,00:18:01,00:20:06,00:21:57,00:22:59,00:24:41,00:01:35,00:02:08,00:03:18,00:01:55,00:02:13,00:05:09,00:00:39,00:01:04,00:02:05,00:01:51,00:01:02,00:01:42
5,5880,DEFY,00:27:27,,Male 16-39,5,"Danial Hafizi
Muhammad Adib Rosli","Wan Mohammad Eidzuddien
Muhammad Ediasyamin",0:00:00,00:01:36,00:03:45,00:07:25,00:09:39,00:12:13,00:16:50,00:18:10,00:19:21,00:21:32,00:23:16,00:24:21,00:27:27,00:01:36,00:02:09,00:03:40,00:02:14,00:02:34,00:04:37,00:01:20,00:01:11,00:02:11,00:01:44,00:01:05,00:03:06
6,3138,Blackpink,00:27:38,,Male 16-39,6,"Meng Keat Chaw
Clarence Tan","Nicholas Ng
Voon Loong Wong",0:00:00,00:01:57,00:04:05,00:07:54,00:09:33,00:11:33,00:16:47,00:18:14,00:19:27,00:21:52,00:23:47,00:24:51,00:27:38,00:01:57,00:02:08,00:03:49,00:01:39,00:02:00,00:05:14,00:01:27,00:01:13,00:02:25,00:01:55,00:01:04,00:02:47
7,118,No what if,00:27:48,,Male 16-39,7,"Muhammad Irwan Kamaruddin
Mohd Raihan Hasni","Razi Rahman
Muhammad Hafiz",0:00:00,00:01:41,00:04:32,00:08:03,00:10:08,00:12:17,00:17:30,00:18:52,00:20:02,00:22:36,00:24:28,00:25:38,00:27:48,00:01:41,00:02:51,00:03:31,00:02:05,00:02:09,00:05:13,00:01:22,00:01:10,00:02:34,00:01:52,00:01:10,00:02:10
8,4001,Strongers,00:28:04,,Male 16-39,8,"Lik Yi Lee
Wei Jun Thi","Chee Kiong Seh
Shin Jiet Teh",0:00:00,00:01:46,00:03:59,00:07:56,00:09:54,00:11:57,00:16:54,00:18:04,00:19:09,00:21:30,00:23:33,00:24:57,00:28:04,00:01:46,00:02:13,00:03:57,00:01:58,00:02:03,00:04:57,00:01:10,00:01:05,00:02:21,00:02:03,00:01:24,00:03:07
9,2033,we love chicken rice,00:28:23,,Male 16-39,9,"Zhen Hoong Lim
Wei Zhen Khor","Kheng Leong Goh
Xue Lian Ooi",0:00:00,00:01:45,00:04:17,00:07:36,00:09:51,00:12:26,00:17:17,00:18:38,00:19:45,00:22:16,00:24:16,00:25:31,00:28:23,00:01:45,00:02:32,00:03:19,00:02:15,00:02:35,00:04:51,00:01:21,00:01:07,00:02:31,00:02:00,00:01:15,00:02:52
10,413,The Boys,00:28:30,,Male 16-39,10,"Abd Hanif Abd Hamid
Mohammad Azlan Abdullah","Muhammad Firdaus Aziz
Muhammad Safar Mustafa",0:00:00,00:01:55,00:04:06,00:07:11,00:09:40,00:12:36,00:17:49,00:18:56,00:20:05,00:22:21,00:24:44,00:26:00,00:28:30,00:01:55,00:02:11,00:03:05,00:02:29,00:02:56,00:05:13,00:01:07,00:01:09,00:02:16,00:02:23,00:01:16,00:02:30
