Pos,Race No,Name,Net Time,Time Adj,Category,Cat Pos,Member1,Member2,Start,RUN,SKI,DEADBALL BURPEES,BIKE,FARMER'S CARRY,SHUTTLE RUNS,RUSSIAN TWISTS,SANDBAG GAUNTLET,ROW,SQUAT THRUSTS,THE MULE,SLED PUSH & PULL,RUN Workout Time,SKI Workout Time,DEADBALL BURPEES Workout Time,BIKE Workout Time,FARMER'S CARRY Workout Time,SHUTTLE RUNS Workout Time,RUSSIAN TWISTS Workout Time,SANDBAG GAUNTLET Workout Time,ROW Workout Time,SQUAT THRUSTS Workout Time,THE MULE Workout Time,SLED PUSH & PULL Workout Time
1,6121,Jok3rs,00:24:57,, ,,"Wittawat Wittayaviranon
Phatthinee","Noppadol Suttichaivarakul
Suchanya Tangwancharoenchai",0:00:00,00:01:42,00:04:50,00:08:27,00:10:16,00:12:03,00:14:23,00:16:14,00:17:34,00:20:15,00:21:38,00:22:59,00:24:57,00:01:42,00:03:08,00:03:37,00:01:49,00:01:47,00:02:20,00:01:51,00:01:20,00:02:41,00:01:23,00:01:21,00:01:58
2,6171,Sponsor Fire,00:27:25,, ,,"Ekgarak Kanwattanee
Pannika Phonphinijchai","Thanutchai Saengsuratham
Sasi Supanrung",0:00:00,00:01:57,00:04:34,00:07:36,00:09:50,00:12:59,00:17:41,00:19:17,00:20:58,00:23:53,00:25:03,00:26:14,00:27:25,00:01:57,00:02:37,00:03:02,00:02:14,00:03:09,00:04:42,00:01:36,00:01:41,00:02:55,00:01:10,00:01:11,00:01:11
3,6131,Team Jok3rs 2,00:28:11,, ,,"Pakin Thanachatchai
Nutsara Meesintham","Pimchanoke Khamlee
Chawalit Tharaumpawan",0:00:00,00:01:57,00:04:57,00:09:09,00:10:47,00:12:58,00:17:35,00:19:08,00:20:47,00:24:03,00:25:26,00:26:39,00:28:11,00:01:57,00:03:00,00:04:12,00:01:38,00:02:11,00:04:37,00:01:33,00:01:39,00:03:16,00:01:23,00:01:13,00:01:32
4,6081,ouioui first try,00:29:56,, ,,"Satavee Bhunthuvanich
Charnvudh Vajarodaya","Sorawis Nateeratanakamjai
Chanya Kanokvaleewong",0:00:00,00:01:38,00:03:45,00:07:15,00:09:53,00:12:10,00:17:07,00:19:29,00:21:51,00:25:23,00:26:51,00:28:24,00:29:56,00:01:38,00:02:07,00:03:30,00:02:38,00:02:17,00:04:57,00:02:22,00:02:22,00:03:32,00:01:28,00:01:33,00:01:32
5,6101,Last and Furious,00:30:50,, ,,"Mun Leng Lim
Mei Yin Aw","Kim Seng Ho
Nicholas Han Wei Lee",0:00:00,00:01:43,00:04:46,00:09:23,00:11:39,00:14:28,00:19:40,00:21:02,00:22:26,00:25:15,00:27:17,00:28:55,00:30:50,00:01:43,00:03:03,00:04:37,00:02:16,00:02:49,00:05:12,00:01:22,00:01:24,00:02:49,00:02:02,00:01:38,00:01:55
6,6021,Mai na Ma,00:31:38,, ,,"Sasinapa Satittrammachat
Sitthinadda Paphavasit","Kantee Sukchaisit
Jirapat Attapong",0:00:00,00:01:59,00:04:51,00:07:59,00:10:47,00:13:56,00:19:20,00:21:36,00:23:22,00:26:53,00:28:31,00:30:15,00:31:38,00:01:59,00:02:52,00:03:08,00:02:48,00:03:09,00:05:24,00:02:16,00:01:46,00:03:31,00:01:38,00:01:44,00:01:23
7,6061,FC Bayern Munich,00:32:05,, ,,"Divyank Singh
Pantaree Noppawan","Luc Timm
Emily Wu",0:00:00,00:01:30,00:03:22,00:06:35,00:09:12,00:12:53,00:19:41,00:21:39,00:23:54,00:27:13,00:28:59,00:30:41,00:32:05,00:01:30,00:01:52,00:03:13,00:02:37,00:03:41,00:06:48,00:01:58,00:02:15,00:03:19,00:01:46,00:01:42,00:01:24
8,6071,Passport to Pain,00:32:22,, ,,"Yen Yee Teoh
Eu Minn Ng","Chuying Seah
Weilun Seah",0:00:00,00:02:00,00:04:10,00:08:16,00:11:15,00:14:36,00:20:21,00:22:12,00:24:19,00:27:53,00:29:18,00:31:03,00:32:22,00:02:00,00:02:10,00:04:06,00:02:59,00:03:21,00:05:45,00:01:51,00:02:07,00:03:34,00:01:25,00:01:45,00:01:19
9,6091,Jicalicious,00:34:37,, ,,"Aina Binti Ahmad Rizal
Noor Isma Ismail","Craig David Dasiuk
Jeremy Matthew Danker",0:00:00,00:01:37,00:03:35,00:08:05,00:11:13,00:14:23,00:21:02,00:23:33,00:26:20,00:30:20,00:31:40,00:33:00,00:34:37,00:01:37,00:01:58,00:04:30,00:03:08,00:03:10,00:06:39,00:02:31,00:02:47,00:04:00,00:01:20,00:01:20,00:01:37
10,6011,เผ็ดมากมาก,00:35:16,, ,,"Tunyatorn Kaewmool
Aksorn N","Mike Phumeth
Patt Krutvecho",0:00:00,00:02:17,00:06:29,00:13:28,00:15:28,00:18:28,00:23:32,00:25:26,00:27:27,00:30:58,00:32:18,00:33:24,00:35:16,00:02:17,00:04:12,00:06:59,00:02:00,00:03:00,00:05:04,00:01:54,00:02:01,00:03:31,00:01:20,00:01:06,00:01:52
