Pos,Race No,Name,Net Time,Time Adj,Category,Cat Pos,Member1,Member2,Start,RUN,SKI,DEADBALL BURPEES,BIKE,FARMER'S CARRY,SHUTTLE RUNS,RUSSIAN TWISTS,SANDBAG GAUNTLET,ROW,SQUAT THRUSTS,THE MULE,SLED PUSH & PULL,RUN Workout Time,SKI Workout Time,DEADBALL BURPEES Workout Time,BIKE Workout Time,FARMER'S CARRY Workout Time,SHUTTLE RUNS Workout Time,RUSSIAN TWISTS Workout Time,SANDBAG GAUNTLET Workout Time,ROW Workout Time,SQUAT THRUSTS Workout Time,THE MULE Workout Time,SLED PUSH & PULL Workout Time
1,3940,HAN GO WE GO,00:24:17,,Female 16-39,1,Jia Xin Lim,Yee Lin Seah,0:00:00,00:01:44,00:04:07,00:06:00,00:08:13,00:09:59,00:13:54,00:15:07,00:16:51,00:19:12,00:21:27,00:22:38,00:24:17,00:01:44,00:02:23,00:01:53,00:02:13,00:01:46,00:03:55,00:01:13,00:01:44,00:02:21,00:02:15,00:01:11,00:01:39
2,862,A&M,00:24:27,,Female 16-39,2,Aneesa Jamil,Mei Ee See,0:00:00,00:01:55,00:04:07,00:05:53,00:08:03,00:09:51,00:13:28,00:14:55,00:17:09,00:19:39,00:21:38,00:22:58,00:24:27,00:01:55,00:02:12,00:01:46,00:02:10,00:01:48,00:03:37,00:01:27,00:02:14,00:02:30,00:01:59,00:01:20,00:01:29
3,4532,ERorPR,00:25:45,,Female 16-39,3,Shalinda Beevi,Alicia Teng,0:00:00,00:01:43,00:03:51,00:05:43,00:07:55,00:09:43,00:13:37,00:14:59,00:16:53,00:19:17,00:22:29,00:23:52,00:25:45,00:01:43,00:02:08,00:01:52,00:02:12,00:01:48,00:03:54,00:01:22,00:01:54,00:02:24,00:03:12,00:01:23,00:01:53
4,570,Team LC,00:26:09,,Female 40-49,1,Linda Toh,Constance Chow,0:00:00,00:01:56,00:04:26,00:06:24,00:08:45,00:10:36,00:14:24,00:15:50,00:18:11,00:20:54,00:22:50,00:24:08,00:26:09,00:01:56,00:02:30,00:01:58,00:02:21,00:01:51,00:03:48,00:01:26,00:02:21,00:02:43,00:01:56,00:01:18,00:02:01
5,5026,Grit & Eminie,00:27:17,,Female 16-39,4,Gan Annie,Emily Ooi,0:00:00,00:01:59,00:04:28,00:06:47,00:09:07,00:11:04,00:15:04,00:16:36,00:19:01,00:21:45,00:23:54,00:25:20,00:27:17,00:01:59,00:02:29,00:02:19,00:02:20,00:01:57,00:04:00,00:01:32,00:02:25,00:02:44,00:02:09,00:01:26,00:01:57
6,122,2ne1,00:27:32,,Female 16-39,5,Bee Sze Tan,Jo Rynn Lee,0:00:00,00:01:50,00:04:23,00:06:35,00:08:41,00:10:43,00:14:51,00:16:21,00:18:31,00:21:14,00:24:08,00:25:43,00:27:32,00:01:50,00:02:33,00:02:12,00:02:06,00:02:02,00:04:08,00:01:30,00:02:10,00:02:43,00:02:54,00:01:35,00:01:49
7,3783,Iskandars,00:27:41,,Female 40-49,2,Zaireen Iskandar,Faridah Iskandar,0:00:00,00:01:57,00:04:05,00:06:10,00:08:32,00:10:30,00:14:27,00:16:02,00:18:40,00:21:27,00:23:59,00:25:27,00:27:41,00:01:57,00:02:08,00:02:05,00:02:22,00:01:58,00:03:57,00:01:35,00:02:38,00:02:47,00:02:32,00:01:28,00:02:14
8,1500,Dynamic Sweat Symphony,00:28:19,,Female 16-39,6,Cheu Iva Tow,Cui Wen Lee,0:00:00,00:01:58,00:04:47,00:07:13,00:09:31,00:11:35,00:15:50,00:17:24,00:19:41,00:22:38,00:24:43,00:26:15,00:28:19,00:01:58,00:02:49,00:02:26,00:02:18,00:02:04,00:04:15,00:01:34,00:02:17,00:02:57,00:02:05,00:01:32,00:02:04
9,906,Double M,00:28:20,,Female 16-39,7,Magdeline Lai,Miko Ng,0:00:00,00:02:12,00:04:36,00:07:00,00:09:26,00:11:31,00:15:55,00:17:10,00:19:31,00:22:27,00:24:50,00:26:30,00:28:20,00:02:12,00:02:24,00:02:24,00:02:26,00:02:05,00:04:24,00:01:15,00:02:21,00:02:56,00:02:23,00:01:40,00:01:50
10,1559,AA Battery,00:29:49,,Female 16-39,8,Ann Ning Yap,Arial Chan,0:00:00,00:02:02,00:04:46,00:07:23,00:09:55,00:11:44,00:15:46,00:17:32,00:19:44,00:22:39,00:25:34,00:26:53,00:29:49,00:02:02,00:02:44,00:02:37,00:02:32,00:01:49,00:04:02,00:01:46,00:02:12,00:02:55,00:02:55,00:01:19,00:02:56
11,5623,Powered by Redbull 🤪,00:29:57,,Female 16-39,9,Sharifah Sabrina,Shafina Hanim Mohd Habib,0:00:00,00:02:29,00:05:04,00:07:23,00:09:50,00:11:40,00:16:06,00:17:38,00:20:17,00:23:42,00:26:23,00:27:46,00:29:57,00:02:29,00:02:35,00:02:19,00:02:27,00:01:50,00:04:26,00:01:32,00:02:39,00:03:25,00:02:41,00:01:23,00:02:11
12,826,Punny Duo,00:29:59,,Female 16-39,10,Yap Ee Ling,Amanda Jenkins,0:00:00,00:02:04,00:04:47,00:07:27,00:09:49,00:12:04,00:16:16,00:18:17,00:21:02,00:24:09,00:26:34,00:28:05,00:29:59,00:02:04,00:02:43,00:02:40,00:02:22,00:02:15,00:04:12,00:02:01,00:02:45,00:03:07,00:02:25,00:01:31,00:01:54
13,913,Crazy Sisters,00:30:02,,Female 40-49,3,Jacqueline Yee,Jessamine Yee,0:00:00,00:01:56,00:04:51,00:07:27,00:09:56,00:12:10,00:16:24,00:18:10,00:20:54,00:24:16,00:26:30,00:28:03,00:30:02,00:01:56,00:02:55,00:02:36,00:02:29,00:02:14,00:04:14,00:01:46,00:02:44,00:03:22,00:02:14,00:01:33,00:01:59
14,1524,Aroo Femme,00:30:06,,Female 16-39,11,Sin Yi Lim,Nisah Yasop,0:00:00,00:02:32,00:05:04,00:07:43,00:10:00,00:12:09,00:16:50,00:18:32,00:21:14,00:24:01,00:26:43,00:28:22,00:30:06,00:02:32,00:02:32,00:02:39,00:02:17,00:02:09,00:04:41,00:01:42,00:02:42,00:02:47,00:02:42,00:01:39,00:01:44
15,301,Swolemates,00:30:07,,Female 16-39,12,Kar Karl Ho,Jo-Ann Tan,0:00:00,00:02:13,00:04:58,00:07:26,00:09:57,00:11:56,00:16:08,00:17:38,00:20:16,00:23:15,00:26:17,00:28:01,00:30:07,00:02:13,00:02:45,00:02:28,00:02:31,00:01:59,00:04:12,00:01:30,00:02:38,00:02:59,00:03:02,00:01:44,00:02:06
16,4788,Not Sisters,00:30:09,,Female 16-39,13,Jerlin Chew,Nicole M,0:00:00,00:02:15,00:04:52,00:07:35,00:10:10,00:12:12,00:16:27,00:18:01,00:21:08,00:24:10,00:26:27,00:27:53,00:30:09,00:02:15,00:02:37,00:02:43,00:02:35,00:02:02,00:04:15,00:01:34,00:03:07,00:03:02,00:02:17,00:01:26,00:02:16
17,3631,Lazy Lifters,00:30:27,,Female 16-39,14,Melissa Chang,Yi Chiang,0:00:00,00:02:13,00:04:47,00:07:11,00:09:53,00:12:04,00:16:42,00:18:21,00:21:08,00:24:06,00:27:02,00:28:54,00:30:27,00:02:13,00:02:34,00:02:24,00:02:42,00:02:11,00:04:38,00:01:39,00:02:47,00:02:58,00:02:56,00:01:52,00:01:33
18,767,J team,00:30:32,,Female 16-39,15,Chin Shah Zan,Jia Wen Wong,0:00:00,00:01:57,00:04:57,00:07:18,00:10:15,00:12:13,00:16:37,00:18:14,00:20:43,00:24:28,00:26:34,00:28:16,00:30:32,00:01:57,00:03:00,00:02:21,00:02:57,00:01:58,00:04:24,00:01:37,00:02:29,00:03:45,00:02:06,00:01:42,00:02:16
19,3206,PinkBull,00:30:45,,Female 40-49,4,Cindy Sew,Kang Hui Bee,0:00:00,00:01:59,00:04:59,00:07:49,00:10:37,00:12:48,00:17:25,00:19:12,00:21:39,00:24:43,00:27:06,00:28:43,00:30:45,00:01:59,00:03:00,00:02:50,00:02:48,00:02:11,00:04:37,00:01:47,00:02:27,00:03:04,00:02:23,00:01:37,00:02:02
20,576,Lessmeals,00:30:46,,Female 16-39,16,Chung Sing Ling,Fakhreiyah Menudin,0:00:00,00:02:40,00:05:18,00:08:08,00:10:42,00:12:50,00:17:11,00:18:56,00:21:29,00:24:31,00:26:51,00:28:28,00:30:46,00:02:40,00:02:38,00:02:50,00:02:34,00:02:08,00:04:21,00:01:45,00:02:33,00:03:02,00:02:20,00:01:37,00:02:18
21,299,Margasistas,00:30:48,,Female 16-39,17,Ying Yee Poon,Ping Yee Poon,0:00:00,00:02:08,00:05:06,00:07:40,00:10:38,00:12:33,00:16:58,00:18:44,00:21:16,00:24:39,00:27:15,00:28:55,00:30:48,00:02:08,00:02:58,00:02:34,00:02:58,00:01:55,00:04:25,00:01:46,00:02:32,00:03:23,00:02:36,00:01:40,00:01:53
22,4956,Edamame,00:30:55,,Female 16-39,18,Nadira Hamdam,Chee Yen Teh,0:00:00,00:02:09,00:04:59,00:07:50,00:10:43,00:13:05,00:17:34,00:19:18,00:21:46,00:25:08,00:27:38,00:29:05,00:30:55,00:02:09,00:02:50,00:02:51,00:02:53,00:02:22,00:04:29,00:01:44,00:02:28,00:03:22,00:02:30,00:01:27,00:01:50
23,2916,Sweaty Sisters,00:31:04,,Female 16-39,19,Seolki Lee,Lee Kee Yap,0:00:00,00:02:23,00:05:27,00:08:03,00:10:50,00:12:57,00:17:13,00:18:49,00:22:07,00:25:29,00:27:33,00:29:06,00:31:04,00:02:23,00:03:04,00:02:36,00:02:47,00:02:07,00:04:16,00:01:36,00:03:18,00:03:22,00:02:04,00:01:33,00:01:58
24,5492,APJAY DUO,00:31:09,,Female 40-49,5,Gan Hui Ling,Stephanie Neo,0:00:00,00:01:58,00:04:55,00:08:01,00:10:54,00:12:51,00:17:31,00:19:07,00:22:03,00:25:26,00:27:30,00:28:56,00:31:09,00:01:58,00:02:57,00:03:06,00:02:53,00:01:57,00:04:40,00:01:36,00:02:56,00:03:23,00:02:04,00:01:26,00:02:13
