Pos,Race No,Name,Net Time,Time Adj,Category,Cat Pos,Start,RUN,SKI,DEADBALL BURPEES,BIKE,FARMER'S CARRY,SHUTTLE RUNS,RUSSIAN TWISTS,SANDBAG GAUNTLET,ROW,SQUAT THRUSTS,THE MULE,SLED PUSH & PULL,RUN Workout Time,SKI Workout Time,DEADBALL BURPEES Workout Time,BIKE Workout Time,FARMER'S CARRY Workout Time,SHUTTLE RUNS Workout Time,RUSSIAN TWISTS Workout Time,SANDBAG GAUNTLET Workout Time,ROW Workout Time,SQUAT THRUSTS Workout Time,THE MULE Workout Time,SLED PUSH & PULL Workout Time
1,149,Ying Er Jessica Ting,00:26:54,,F40-49,1,0:00:00,00:02:05,00:04:05,00:06:32,00:08:55,00:10:30,00:15:14,00:17:05,00:18:47,00:21:59,00:23:36,00:25:09,00:26:54,00:02:05,00:02:00,00:02:27,00:02:23,00:01:35,00:04:44,00:01:51,00:01:42,00:03:12,00:01:37,00:01:33,00:01:45
2,123,Natalie Cook,00:26:59,,F18-39,1,0:00:00,00:02:02,00:04:02,00:07:02,00:09:23,00:11:03,00:15:28,00:17:34,00:19:39,00:22:11,00:24:14,00:25:39,00:26:59,00:02:02,00:02:00,00:03:00,00:02:21,00:01:40,00:04:25,00:02:06,00:02:05,00:02:32,00:02:03,00:01:25,00:01:20
3,160,Zoe Edmunds,00:27:09,,F40-49,2,0:00:00,00:01:55,00:04:01,00:06:30,00:08:48,00:10:10,00:14:58,00:16:52,00:19:28,00:22:21,00:24:32,00:25:29,00:27:09,00:01:55,00:02:06,00:02:29,00:02:18,00:01:22,00:04:48,00:01:54,00:02:36,00:02:53,00:02:11,00:00:57,00:01:40
4,119,Shelly Zing Chin Lum,00:27:11,,F18-39,2,0:00:00,00:02:04,00:04:34,00:07:12,00:09:46,00:11:25,00:16:10,00:17:52,00:19:26,00:22:20,00:23:56,00:25:25,00:27:11,00:02:04,00:02:30,00:02:38,00:02:34,00:01:39,00:04:45,00:01:42,00:01:34,00:02:54,00:01:36,00:01:29,00:01:46
5,157,Sharon Liew,00:27:26,,F40-49,3,0:00:00,00:01:52,00:04:14,00:06:24,00:09:07,00:10:36,00:15:53,00:17:11,00:19:21,00:22:23,00:24:09,00:25:04,00:27:26,00:01:52,00:02:22,00:02:10,00:02:43,00:01:29,00:05:17,00:01:18,00:02:10,00:03:02,00:01:46,00:00:55,00:02:22
6,152,Reen Rawaida Zuhdi,00:27:40,,F40-49,4,0:00:00,00:02:12,00:04:14,00:06:30,00:08:56,00:10:34,00:15:46,00:17:40,00:19:28,00:22:43,00:24:26,00:25:33,00:27:40,00:02:12,00:02:02,00:02:16,00:02:26,00:01:38,00:05:12,00:01:54,00:01:48,00:03:15,00:01:43,00:01:07,00:02:07
7,147,Denise Tan,00:28:08,,F40-49,5,0:00:00,00:02:16,00:04:40,00:06:52,00:09:32,00:11:15,00:16:18,00:18:10,00:19:58,00:23:16,00:24:32,00:26:03,00:28:08,00:02:16,00:02:24,00:02:12,00:02:40,00:01:43,00:05:03,00:01:52,00:01:48,00:03:18,00:01:16,00:01:31,00:02:05
8,153,Methaya Wannawatpiti,00:28:57,,F40-49,6,0:00:00,00:02:01,00:04:34,00:07:03,00:09:29,00:11:12,00:15:56,00:18:08,00:19:51,00:23:07,00:25:06,00:26:46,00:28:57,00:02:01,00:02:33,00:02:29,00:02:26,00:01:43,00:04:44,00:02:12,00:01:43,00:03:16,00:01:59,00:01:40,00:02:11
9,133,Charis Chan,00:29:06,,F18-39,3,0:00:00,00:02:19,00:04:53,00:07:41,00:10:11,00:11:38,00:17:09,00:18:16,00:20:16,00:23:29,00:25:14,00:27:09,00:29:06,00:02:19,00:02:34,00:02:48,00:02:30,00:01:27,00:05:31,00:01:07,00:02:00,00:03:13,00:01:45,00:01:55,00:01:57
10,142,Prapawadee Phothiphraisiri,00:29:46,,F18-39,4,0:00:00,00:02:18,00:04:53,00:07:27,00:10:06,00:11:51,00:17:11,00:19:07,00:20:50,00:24:20,00:25:48,00:27:44,00:29:46,00:02:18,00:02:35,00:02:34,00:02:39,00:01:45,00:05:20,00:01:56,00:01:43,00:03:30,00:01:28,00:01:56,00:02:02
